Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06.00.721.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
06.00.721.1250;Έσοδα Περιφερειών από Κ.Α.Π.;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
06.00.721.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
06.00.721.1252.α;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;0,00;0,00;-1.226.114,63;0,00;-1.226.114,63;1.226.114,63;-1.226.114,63;1.226.114,63;0,00;0,00;0,00;0,00
06.00.722;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ (τ.Ν.Τ.);0,00;0,00;0,00;0,00;0,00;-316,67;0,00;-316,67;316,67;-316,67;316,67;0,00;0,00;0,00;0,00
06.00.722.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;0,00;0,00;-316,67;0,00;-316,67;316,67;-316,67;316,67;0,00;0,00;0,00;0,00
06.00.722.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια ,Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;0,00;0,00;-316,67;0,00;-316,67;316,67;-316,67;316,67;0,00;0,00;0,00;0,00
06.00.722.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;0,00;0,00;-316,67;0,00;-316,67;316,67;-316,67;316,67;0,00;0,00;0,00;0,00
06.00.722.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;0,00;0,00;-316,67;0,00;-316,67;316,67;-316,67;316,67;0,00;0,00;0,00;0,00
06.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ  ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;6.517.561,60;-1.983.814,91;4.533.746,69;0,00;4.533.746,69;-1.499.080,31;0,00;-1.499.080,31;6.032.827,00;-1.499.080,31;6.032.827,00;0,00;0,00;0,00;4.533.746,69
06.00.725.1000;Νομαρχειακό Πρόγραμμα Επενδύσεων χρηματοδοτούμενο από Κ.Α.Π.;5.217.561,60;-2.038.211,00;3.179.350,60;0,00;3.179.350,60;-1.518.600,80;0,00;-1.518.600,80;4.697.951,40;-1.518.600,80;4.697.951,40;0,00;0,00;0,00;3.179.350,60
06.00.725.1200;Έσοδα από τέλη και δικαιώματα;5.217.561,60;-2.038.211,00;3.179.350,60;0,00;3.179.350,60;-1.518.600,80;0,00;-1.518.600,80;4.697.951,40;-1.518.600,80;4.697.951,40;0,00;0,00;0,00;3.179.350,60
06.00.725.1250;Έσοδα Περιφερειών από Κ.Α.Π.;5.217.561,60;-2.038.211,00;3.179.350,60;0,00;3.179.350,60;-1.518.600,80;0,00;-1.518.600,80;4.697.951,40;-1.518.600,80;4.697.951,40;0,00;0,00;0,00;3.179.350,60
06.00.725.1251;Έσοδα από Κ.Α.Π. για επενδύσεις χρηματοδοτούμενες αποκλειστικά από εθνικούς πόρους;5.217.561,60;-2.038.211,00;3.179.350,60;0,00;3.179.350,60;-1.518.600,80;0,00;-1.518.600,80;4.697.951,40;-1.518.600,80;4.697.951,40;0,00;0,00;0,00;3.179.350,60
06.00.725.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;14.307,69;14.307,69;0,00;14.307,69;19.520,49;0,00;19.520,49;-5.212,80;19.520,49;-5.212,80;0,00;0,00;0,00;14.307,69
06.00.725.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;14.307,69;14.307,69;0,00;14.307,69;19.520,49;0,00;19.520,49;-5.212,80;19.520,49;-5.212,80;0,00;0,00;0,00;14.307,69
06.00.725.3510;Τόκοι κεφαλαίων;0,00;14.307,69;14.307,69;0,00;14.307,69;19.520,49;0,00;19.520,49;-5.212,80;19.520,49;-5.212,80;0,00;0,00;0,00;14.307,69
06.00.725.3511;Τόκοι από καταθέσεις σε Τράπεζες;0,00;14.307,69;14.307,69;0,00;14.307,69;19.520,49;0,00;19.520,49;-5.212,80;19.520,49;-5.212,80;0,00;0,00;0,00;14.307,69
06.00.725.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002459-76).;0,00;14.307,69;14.307,69;0,00;14.307,69;19.520,49;0,00;19.520,49;-5.212,80;19.520,49;-5.212,80;0,00;0,00;0,00;14.307,69
06.00.725.Τ000;Ταμειακό Υπόλοιπο;1.300.000,00;40.088,40;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40
06.00.725.ΤΑ00;Ταμειακό Υπόλοιπο;1.300.000,00;40.088,40;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40
06.00.725.ΤΑΜ0;Ταμειακό Υπόλοιπο;1.300.000,00;40.088,40;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40
06.00.725.ΤΑΜΥ;Ταμειακό Υπόλοιπο;1.300.000,00;40.088,40;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40
06.00.725.ΤΑΜΥ.01;Ταμειακό Υπόλοιπο Επενδύσεων (3146-20);1.300.000,00;40.088,40;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40;0,00;1.340.088,40;0,00;0,00;0,00;1.340.088,40
06.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;98.419.524,93;8.055.185,91;106.474.710,84;33.996.645,17;72.478.065,67;33.996.645,17;0,00;33.996.645,17;72.478.065,67;33.996.645,17;72.478.065,67;0,00;0,00;-33.996.645,17;106.474.710,84
06.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);4.337.905,13;15.710.020,57;20.047.925,70;2.822.382,23;17.225.543,47;2.822.382,23;0,00;2.822.382,23;17.225.543,47;2.822.382,23;17.225.543,47;0,00;0,00;-2.822.382,23;20.047.925,70
06.01.071.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;3.802,52;3.802,52;11.734,84;-7.932,32;11.734,84;0,00;11.734,84;-7.932,32;11.734,84;-7.932,32;0,00;0,00;-11.734,84;3.802,52
06.01.071.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;3.802,52;3.802,52;11.734,84;-7.932,32;11.734,84;0,00;11.734,84;-7.932,32;11.734,84;-7.932,32;0,00;0,00;-11.734,84;3.802,52
06.01.071.3510;Τόκοι κεφαλαίων;0,00;3.802,52;3.802,52;11.734,84;-7.932,32;11.734,84;0,00;11.734,84;-7.932,32;11.734,84;-7.932,32;0,00;0,00;-11.734,84;3.802,52
06.01.071.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;3.802,52;3.802,52;11.734,84;-7.932,32;11.734,84;0,00;11.734,84;-7.932,32;11.734,84;-7.932,32;0,00;0,00;-11.734,84;3.802,52
06.01.071.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002482-92).;0,00;3.441,26;3.441,26;10.639,65;-7.198,39;10.639,65;0,00;10.639,65;-7.198,39;10.639,65;-7.198,39;0,00;0,00;-10.639,65;3.441,26
06.01.071.3511.β;Τόκοι από καταθέσεις σε Τράπεζες (002270-85).;0,00;317,86;317,86;963,63;-645,77;963,63;0,00;963,63;-645,77;963,63;-645,77;0,00;0,00;-963,63;317,86
06.01.071.3511.γ;Τόκοι από καταθέσεις σε Τράπεζες (003088-39).;0,00;12,84;12,84;38,92;-26,08;38,92;0,00;38,92;-26,08;38,92;-26,08;0,00;0,00;-38,92;12,84
06.01.071.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (002347-09).;0,00;30,56;30,56;92,64;-62,08;92,64;0,00;92,64;-62,08;92,64;-62,08;0,00;0,00;-92,64;30,56
06.01.071.9000;Έσοδα απο επιχορηγήσεις κλπ για επενδύσεις;0,00;6.487.963,92;6.487.963,92;2.810.647,39;3.677.316,53;2.810.647,39;0,00;2.810.647,39;3.677.316,53;2.810.647,39;3.677.316,53;0,00;0,00;-2.810.647,39;6.487.963,92
06.01.071.9400;Επιχορηγήσεις απο τον Π/Υ Δημοσίων Επενδύσεων;0,00;6.411.941,81;6.411.941,81;2.845.801,98;3.566.139,83;2.845.801,98;0,00;2.845.801,98;3.566.139,83;2.845.801,98;3.566.139,83;0,00;0,00;-2.845.801,98;6.411.941,81
06.01.071.9450;Επιχορηγήσεις από το περιφερειακό πρόγραμμα Δ.Ε.;0,00;5.708.054,81;5.708.054,81;2.835.725,20;2.872.329,61;2.835.725,20;0,00;2.835.725,20;2.872.329,61;2.835.725,20;2.872.329,61;0,00;0,00;-2.835.725,20;5.708.054,81
06.01.071.9454;Επιχορηγήσεις για Τουρισμό - Μουσεία - Μνημεία - Εκπαίδευση;0,00;5.389.399,36;5.389.399,36;2.545.437,23;2.843.962,13;2.545.437,23;0,00;2.545.437,23;2.843.962,13;2.545.437,23;2.843.962,13;0,00;0,00;-2.545.437,23;5.389.399,36
06.01.071.9454.β;Επιχορηγήσεις για Εκπαίδευση;0,00;5.389.399,36;5.389.399,36;2.545.437,23;2.843.962,13;2.545.437,23;0,00;2.545.437,23;2.843.962,13;2.545.437,23;2.843.962,13;0,00;0,00;-2.545.437,23;5.389.399,36
06.01.071.9454.β.3;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;5.389.399,36;5.389.399,36;2.545.437,23;2.843.962,13;2.545.437,23;0,00;2.545.437,23;2.843.962,13;2.545.437,23;2.843.962,13;0,00;0,00;-2.545.437,23;5.389.399,36
06.01.071.9454.β.3.21;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 8 Προσθήκη κτιρίου στο συγκρότημα ΤΕΕ Ευκλείδη-Συμπληρωματική Σύμβαση[2010ΝΑ01880003];0,00;0,00;0,00;-161.077,33;161.077,33;-161.077,33;0,00;-161.077,33;161.077,33;-161.077,33;161.077,33;0,00;0,00;161.077,33;0,00
06.01.071.9454.β.3.29;Επιχορηγήσεις  για εκπαίδευση - ΣΑΕΠ 008/8-6-θέσιο Δημοτικό Σχολείο Κερασιάς Δήμου Ν. Μηχανιώνας;0,00;927.411,43;927.411,43;220.820,00;706.591,43;220.820,00;0,00;220.820,00;706.591,43;220.820,00;706.591,43;0,00;0,00;-220.820,00;927.411,43
06.01.071.9454.β.3.30;Επιχορηγησεις για Εκπαίδευση - ΣΑΕΠ 008/8-2ο Γυμνάσιο Ευκαρπίας (προκατ 12/θ);0,00;1.561.987,93;1.561.987,93;585.694,56;976.293,37;585.694,56;0,00;585.694,56;976.293,37;585.694,56;976.293,37;0,00;0,00;-585.694,56;1.561.987,93
06.01.071.9454.β.3.31;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 8-14ο ΔΣ Πολίχνης (ΠΡΟΚΑΤ-12Θ);0,00;1.900.000,00;1.900.000,00;1.900.000,00;0,00;1.900.000,00;0,00;1.900.000,00;0,00;1.900.000,00;0,00;0,00;0,00;-1.900.000,00;1.900.000,00
06.01.071.9454.β.3.32;Επιχορηγήσεις για Εκπαίδευση - ΣΑΕΠ 008/8 3ο ολοήμερο διαπολιτισμικό σχολείο Μενενένης;0,00;1.000.000,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00
06.01.071.9459;Επιχορηγήσεις για διάφορα έργα;0,00;318.655,45;318.655,45;290.287,97;28.367,48;290.287,97;0,00;290.287,97;28.367,48;290.287,97;28.367,48;0,00;0,00;-290.287,97;318.655,45
06.01.071.9459.α;Επιχορηγήσεις για διάφορα έργα;0,00;318.655,45;318.655,45;290.287,97;28.367,48;290.287,97;0,00;290.287,97;28.367,48;290.287,97;28.367,48;0,00;0,00;-290.287,97;318.655,45
06.01.071.9459.α.1;Επιχορηγήσεις για διάφορα έργα - Τόκοι;0,00;0,00;0,00;9.622,52;-9.622,52;9.622,52;0,00;9.622,52;-9.622,52;9.622,52;-9.622,52;0,00;0,00;-9.622,52;0,00
06.01.071.9459.α.3;Επιχορηγήσεις για διάφορα έργα ΣΑΝΑ 3;0,00;318.655,45;318.655,45;280.665,45;37.990,00;280.665,45;0,00;280.665,45;37.990,00;280.665,45;37.990,00;0,00;0,00;-280.665,45;318.655,45
06.01.071.9459.α.3.9;Επιχορηγήσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;0,00;318.655,45;318.655,45;280.665,45;37.990,00;280.665,45;0,00;280.665,45;37.990,00;280.665,45;37.990,00;0,00;0,00;-280.665,45;318.655,45
06.01.071.9470;Επιχορηγήσεις διαφόρων Υπουργείων για ειδικά έργα προγράμματος Δ.Ε.;0,00;703.887,00;703.887,00;10.076,78;693.810,22;10.076,78;0,00;10.076,78;693.810,22;10.076,78;693.810,22;0,00;0,00;-10.076,78;703.887,00
06.01.071.9471;Επιχορηγήσεις Υπουργείου Εσωτερικών Δημ. Διοίκηησης  και Αποκέντρωσης;0,00;0,00;0,00;-152.018,12;152.018,12;-152.018,12;0,00;-152.018,12;152.018,12;-152.018,12;152.018,12;0,00;0,00;152.018,12;0,00
06.01.071.9471.α;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;0,00;0,00;0,00;-152.018,12;152.018,12;-152.018,12;0,00;-152.018,12;152.018,12;-152.018,12;152.018,12;0,00;0,00;152.018,12;0,00
06.01.071.9471.α.2;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - Γενικά ( Πρόγραμμα αντιμετωπισης  ζημιών - καταστροφών κ.λ.π. ) Τρ. Ελλάδος;0,00;0,00;0,00;-76.322,68;76.322,68;-76.322,68;0,00;-76.322,68;76.322,68;-76.322,68;76.322,68;0,00;0,00;76.322,68;0,00
06.01.071.9471.α.4;Πρόγραμμα αντιμετώπισης ζημιών-καταστροφών κλπ-Αποζημιώσεις για την πυρκαγιά στους Ταγαράδες;0,00;0,00;0,00;-75.695,44;75.695,44;-75.695,44;0,00;-75.695,44;75.695,44;-75.695,44;75.695,44;0,00;0,00;75.695,44;0,00
06.01.071.9472;Επιχορηγήσεις Υπουργείου Εθνικής Παιδειάς;0,00;542.196,00;542.196,00;170.269,38;371.926,62;170.269,38;0,00;170.269,38;371.926,62;170.269,38;371.926,62;0,00;0,00;-170.269,38;542.196,00
06.01.071.9472.α;Πρόγραμμα Σχολικής Στέγης;0,00;542.196,00;542.196,00;170.269,38;371.926,62;170.269,38;0,00;170.269,38;371.926,62;170.269,38;371.926,62;0,00;0,00;-170.269,38;542.196,00
06.01.071.9472.α.0;Πρόγραμμα Σχολικής Στέγης - Γενικά;0,00;0,00;0,00;103.540,19;-103.540,19;103.540,19;0,00;103.540,19;-103.540,19;103.540,19;-103.540,19;0,00;0,00;-103.540,19;0,00
06.01.071.9472.α.1;Πρόγραμμα Σχολικής Στέγης (002153-95).;0,00;542.196,00;542.196,00;66.729,19;475.466,81;66.729,19;0,00;66.729,19;475.466,81;66.729,19;475.466,81;0,00;0,00;-66.729,19;542.196,00
06.01.071.9474;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού;0,00;160.722,52;160.722,52;-7.725,59;168.448,11;-7.725,59;0,00;-7.725,59;168.448,11;-7.725,59;168.448,11;0,00;0,00;7.725,59;160.722,52
06.01.071.9474.0;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού  - ΓΓΑ ( 231/12 8516137 12 );0,00;160.722,52;160.722,52;-7.725,59;168.448,11;-7.725,59;0,00;-7.725,59;168.448,11;-7.725,59;168.448,11;0,00;0,00;7.725,59;160.722,52
06.01.071.9474.0.39;ΓΓΑ-Κοινότητα Πεύκων:ανέγερση κλειστού γυμναστηρίου τύπου Τ11β & γηπέδου ποδοσφαίρου με χλοοτάπητα;0,00;149.722,52;149.722,52;0,00;149.722,52;0,00;0,00;0,00;149.722,52;0,00;149.722,52;0,00;0,00;0,00;149.722,52
06.01.071.9474.0.43;ΓΓΑ-Επίστρωση Συνθετικού Τάπητα στο Βοηθητικό Στίβο Καυτατζογλείου Σταδίου;0,00;0,00;0,00;-7.725,59;7.725,59;-7.725,59;0,00;-7.725,59;7.725,59;-7.725,59;7.725,59;0,00;0,00;7.725,59;0,00
06.01.071.9474.0.50;Κατασκευή στίβου & λοιπές εργασίες στα ΤΕΦΑΑ Πανεπιστημίου στη Θέρμη-αποδυτήρια στα γήπεδα Π1-Π2-Π3-Π6,συνθετικός χλοοτάπητας & ηλεκτροφωτισμός στα γήπεδα Π1-Π2;0,00;11.000,00;11.000,00;0,00;11.000,00;0,00;0,00;0,00;11.000,00;0,00;11.000,00;0,00;0,00;0,00;11.000,00
06.01.071.9475;Επιχορηγήσεις Υπουργείου Υγείας;0,00;968,48;968,48;968,48;0,00;968,48;0,00;968,48;0,00;968,48;0,00;0,00;0,00;-968,48;968,48
06.01.071.9475.0;Επιχορηγήσεις Υπουργείου Υγείας;0,00;968,48;968,48;968,48;0,00;968,48;0,00;968,48;0,00;968,48;0,00;0,00;0,00;-968,48;968,48
06.01.071.9475.0.6;Επιχορηγήσεις Υπ. Υγείας-ΣΑΕ 093-Επισκευή, συντήρηση, βελτίωση εγκαταστάσεων στην κατασκήνωση Αγ. Τριάδος Θες/νίκης;0,00;968,48;968,48;968,48;0,00;968,48;0,00;968,48;0,00;968,48;0,00;0,00;0,00;-968,48;968,48
06.01.071.9479;Επιχορηγήσεις άλλων Υπουργείων;0,00;0,00;0,00;-1.417,37;1.417,37;-1.417,37;0,00;-1.417,37;1.417,37;-1.417,37;1.417,37;0,00;0,00;1.417,37;0,00
06.01.071.9479.β;Επιχορηγήσεις Υ.ΠΕ.ΧΩ.Δ.Ε.;0,00;0,00;0,00;-1.417,37;1.417,37;-1.417,37;0,00;-1.417,37;1.417,37;-1.417,37;1.417,37;0,00;0,00;1.417,37;0,00
06.01.071.9479.β.3;Επιχορηγήσεις Υ.ΠΕ.ΧΩ.Δ.Ε.-Αποκατάσταση Λίμνης Κορώνειας Ν. Θεσσαλονίκης;0,00;0,00;0,00;-1.417,37;1.417,37;-1.417,37;0,00;-1.417,37;1.417,37;-1.417,37;1.417,37;0,00;0,00;1.417,37;0,00
06.01.071.9900;Επιχορηγήσεις ΕΕ για λοιπούς σκοπούς;0,00;76.022,11;76.022,11;-35.154,59;111.176,70;-35.154,59;0,00;-35.154,59;111.176,70;-35.154,59;111.176,70;0,00;0,00;35.154,59;76.022,11
06.01.071.9910;Επνδύσεις από έσοδα Ευρωπαϊκής Ένωσης.;0,00;76.022,11;76.022,11;-35.154,59;111.176,70;-35.154,59;0,00;-35.154,59;111.176,70;-35.154,59;111.176,70;0,00;0,00;35.154,59;76.022,11
06.01.071.9919;Επιχορηγήσεις για λοιπούς σκοπούς;0,00;76.022,11;76.022,11;-35.154,59;111.176,70;-35.154,59;0,00;-35.154,59;111.176,70;-35.154,59;111.176,70;0,00;0,00;35.154,59;76.022,11
06.01.071.9919.0;Επιχορηγήσεις για λοιπούς σκοπούς;0,00;0,00;0,00;19.750,00;-19.750,00;19.750,00;0,00;19.750,00;-19.750,00;19.750,00;-19.750,00;0,00;0,00;-19.750,00;0,00
06.01.071.9919.3;Επιχορηγήσεις Ε.Ε. για λοιπούς σκοπούς - Σ.Α.Ε.Π 008/3.Αποκατάσταση ζημιών από τις πλημμύρες του 2006-έργα αντιπλημμυρικής προστασίας αρμοδιότητας ΝΑΘ;0,00;37.655,51;37.655,51;-87.523,40;125.178,91;-87.523,40;0,00;-87.523,40;125.178,91;-87.523,40;125.178,91;0,00;0,00;87.523,40;37.655,51
06.01.071.9919.4;Επενδύσεις Ε.Ε. για λοιπούς σκοπούς - Σ.Α.Ε.Π.  Δημιουργία προπονητικού κέντρου αθλητισμού στο Δήμο Θερμαϊκού ( 18 026 10800000 019 );0,00;0,00;0,00;-186,69;186,69;-186,69;0,00;-186,69;186,69;-186,69;186,69;0,00;0,00;186,69;0,00
06.01.071.9919.6;Επιχορηγήσεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 RECULTIVATUR;0,00;17.000,00;17.000,00;15.000,00;2.000,00;15.000,00;0,00;15.000,00;2.000,00;15.000,00;2.000,00;0,00;0,00;-15.000,00;17.000,00
06.01.071.9919.7;Επιχορηγησεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 Καλυψη εθν συμ/χης WIDE;0,00;21.366,60;21.366,60;17.805,50;3.561,10;17.805,50;0,00;17.805,50;3.561,10;17.805,50;3.561,10;0,00;0,00;-17.805,50;21.366,60
06.01.071.Τ000;Ταμειακό Υπόλοιπο;4.337.905,13;9.218.254,13;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26
06.01.071.ΤΑ00;Ταμειακό Υπόλοιπο;4.337.905,13;9.218.254,13;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26
06.01.071.ΤΑΜ0;Ταμειακό Υπόλοιπο;4.337.905,13;9.218.254,13;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26;0,00;13.556.159,26;0,00;0,00;0,00;13.556.159,26
