Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06.00.721.6100;Επιχορηγήσεις;0,00;0,00;0,00;0,00;0,00;960.946,77;0,00;960.946,77;-960.946,77;960.946,77;-960.946,77;0,00;0,00;0,00;0,00
06.00.721.6110;Επιχορηγήσεις από τον τακτικό κρατικό προϋπολογισμό;0,00;0,00;0,00;0,00;0,00;960.946,77;0,00;960.946,77;-960.946,77;960.946,77;-960.946,77;0,00;0,00;0,00;0,00
06.00.721.6118;Έκτακτη επιχορήγηση για την εξόφληση των ληξιπρόθεσμων υποχρεώσεων της υποπαραγράφου Γ2 του άρθρου Πρώτου του ν.4093/2012;0,00;0,00;0,00;0,00;0,00;960.946,77;0,00;960.946,77;-960.946,77;960.946,77;-960.946,77;0,00;0,00;0,00;0,00
06.00.722;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ (τ.Ν.Τ.);0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,36;-0,36;0,36;-0,36;0,00;0,00;0,00;0,00
06.00.722.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,36;-0,36;0,36;-0,36;0,00;0,00;0,00;0,00
06.00.722.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια ,Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,36;-0,36;0,36;-0,36;0,00;0,00;0,00;0,00
06.00.722.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,36;-0,36;0,36;-0,36;0,00;0,00;0,00;0,00
06.00.722.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;0,00;0,00;0,36;0,00;0,36;-0,36;0,36;-0,36;0,00;0,00;0,00;0,00
06.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ  ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;2.273.111,02;-1.907.045,36;366.065,66;0,00;366.065,66;211.026,86;0,00;211.026,86;155.038,80;211.026,86;155.038,80;0,00;0,00;0,00;366.065,66
06.00.725.1000;Νομαρχειακό Πρόγραμμα Επενδύσεων χρηματοδοτούμενο από Κ.Α.Π.;2.273.111,02;-2.036.249,81;236.861,21;0,00;236.861,21;206.437,00;0,00;206.437,00;30.424,21;206.437,00;30.424,21;0,00;0,00;0,00;236.861,21
06.00.725.1200;Έσοδα από τέλη και δικαιώματα;2.273.111,02;-2.036.249,81;236.861,21;0,00;236.861,21;206.437,00;0,00;206.437,00;30.424,21;206.437,00;30.424,21;0,00;0,00;0,00;236.861,21
06.00.725.1250;Έσοδα Περιφερειών από Κ.Α.Π.;2.273.111,02;-2.036.249,81;236.861,21;0,00;236.861,21;206.437,00;0,00;206.437,00;30.424,21;206.437,00;30.424,21;0,00;0,00;0,00;236.861,21
06.00.725.1251;Έσοδα από Κ.Α.Π. για επενδύσεις χρηματοδοτούμενες αποκλειστικά από εθνικούς πόρους;2.273.111,02;-2.036.249,81;236.861,21;0,00;236.861,21;206.437,00;0,00;206.437,00;30.424,21;206.437,00;30.424,21;0,00;0,00;0,00;236.861,21
06.00.725.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;2.599,09;2.599,09;0,00;2.599,09;4.589,86;0,00;4.589,86;-1.990,77;4.589,86;-1.990,77;0,00;0,00;0,00;2.599,09
06.00.725.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;2.599,09;2.599,09;0,00;2.599,09;4.589,86;0,00;4.589,86;-1.990,77;4.589,86;-1.990,77;0,00;0,00;0,00;2.599,09
06.00.725.3510;Τόκοι κεφαλαίων;0,00;2.599,09;2.599,09;0,00;2.599,09;4.589,86;0,00;4.589,86;-1.990,77;4.589,86;-1.990,77;0,00;0,00;0,00;2.599,09
06.00.725.3511;Τόκοι από καταθέσεις σε Τράπεζες;0,00;2.599,09;2.599,09;0,00;2.599,09;4.589,86;0,00;4.589,86;-1.990,77;4.589,86;-1.990,77;0,00;0,00;0,00;2.599,09
06.00.725.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002459-76).;0,00;2.599,09;2.599,09;0,00;2.599,09;4.589,86;0,00;4.589,86;-1.990,77;4.589,86;-1.990,77;0,00;0,00;0,00;2.599,09
06.00.725.Τ100;ΤΑΜΕΙΑΚΟ ΥΠΟΛΟΙΠΟ;0,00;126.605,36;126.605,36;0,00;126.605,36;0,00;0,00;0,00;126.605,36;0,00;126.605,36;0,00;0,00;0,00;126.605,36
06.00.725.Τ120;Ταμειακό υπόλοιπο για την κάλυψη υποχρεώσεων παρελθόντων ετών (2459-76);0,00;126.605,36;126.605,36;0,00;126.605,36;0,00;0,00;0,00;126.605,36;0,00;126.605,36;0,00;0,00;0,00;126.605,36
06.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;73.937.445,04;5.723.318,52;79.660.763,56;30.674.295,09;48.986.468,47;30.674.295,09;0,00;30.674.295,09;48.986.468,47;30.674.295,09;48.986.468,47;0,00;0,00;-30.674.295,09;79.660.763,56
06.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);4.438.112,20;4.210.833,71;8.648.945,91;247.679,58;8.401.266,33;247.679,58;0,00;247.679,58;8.401.266,33;247.679,58;8.401.266,33;0,00;0,00;-247.679,58;8.648.945,91
06.01.071.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;17.094,53;-17.094,53;17.094,53;0,00;17.094,53;-17.094,53;17.094,53;-17.094,53;0,00;0,00;-17.094,53;0,00
06.01.071.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;17.094,53;-17.094,53;17.094,53;0,00;17.094,53;-17.094,53;17.094,53;-17.094,53;0,00;0,00;-17.094,53;0,00
06.01.071.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;17.094,53;-17.094,53;17.094,53;0,00;17.094,53;-17.094,53;17.094,53;-17.094,53;0,00;0,00;-17.094,53;0,00
06.01.071.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;17.094,53;-17.094,53;17.094,53;0,00;17.094,53;-17.094,53;17.094,53;-17.094,53;0,00;0,00;-17.094,53;0,00
06.01.071.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002482-92).;0,00;0,00;0,00;16.082,63;-16.082,63;16.082,63;0,00;16.082,63;-16.082,63;16.082,63;-16.082,63;0,00;0,00;-16.082,63;0,00
06.01.071.3511.β;Τόκοι από καταθέσεις σε Τράπεζες (002270-85).;0,00;0,00;0,00;890,37;-890,37;890,37;0,00;890,37;-890,37;890,37;-890,37;0,00;0,00;-890,37;0,00
06.01.071.3511.γ;Τόκοι από καταθέσεις σε Τράπεζες (003088-39).;0,00;0,00;0,00;35,94;-35,94;35,94;0,00;35,94;-35,94;35,94;-35,94;0,00;0,00;-35,94;0,00
06.01.071.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (002347-09).;0,00;0,00;0,00;85,59;-85,59;85,59;0,00;85,59;-85,59;85,59;-85,59;0,00;0,00;-85,59;0,00
06.01.071.6000;Έκτακτα έσοδα;0,00;1.168.167,66;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66
06.01.071.6100;Επιχορηγήσεις;0,00;1.168.167,66;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66
06.01.071.6110;Επιχορηγήσεις από τον τακτικό κρατικό προϋπολογισμό;0,00;1.168.167,66;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66
06.01.071.6118;Έκτακτη επιχορήγηση για την εξόφληση των ληξιπρόθεσμων υποχρεώσεων της υποπαραγράφου Γ2 του άρθρου Πρώτου του ν.4093/2012;0,00;1.168.167,66;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66;0,00;1.168.167,66;0,00;0,00;0,00;1.168.167,66
06.01.071.9000;Έσοδα απο επιχορηγήσεις κλπ για επενδύσεις;0,00;2.724.320,28;2.724.320,28;230.585,05;2.493.735,23;230.585,05;0,00;230.585,05;2.493.735,23;230.585,05;2.493.735,23;0,00;0,00;-230.585,05;2.724.320,28
06.01.071.9400;Επιχορηγήσεις απο τον Π/Υ Δημοσίων Επενδύσεων;0,00;2.724.320,28;2.724.320,28;238.685,45;2.485.634,83;238.685,45;0,00;238.685,45;2.485.634,83;238.685,45;2.485.634,83;0,00;0,00;-238.685,45;2.724.320,28
06.01.071.9450;Επιχορηγήσεις από το περιφερειακό πρόγραμμα Δ.Ε.;0,00;2.338.977,66;2.338.977,66;-95.746,52;2.434.724,18;-95.746,52;0,00;-95.746,52;2.434.724,18;-95.746,52;2.434.724,18;0,00;0,00;95.746,52;2.338.977,66
06.01.071.9454;Επιχορηγήσεις για Τουρισμό - Μουσεία - Μνημεία - Εκπαίδευση;0,00;2.105.000,00;2.105.000,00;-175.540,00;2.280.540,00;-175.540,00;0,00;-175.540,00;2.280.540,00;-175.540,00;2.280.540,00;0,00;0,00;175.540,00;2.105.000,00
06.01.071.9454.β;Επιχορηγήσεις για Εκπαίδευση;0,00;2.105.000,00;2.105.000,00;-175.540,00;2.280.540,00;-175.540,00;0,00;-175.540,00;2.280.540,00;-175.540,00;2.280.540,00;0,00;0,00;175.540,00;2.105.000,00
06.01.071.9454.β.3;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;2.105.000,00;2.105.000,00;-175.540,00;2.280.540,00;-175.540,00;0,00;-175.540,00;2.280.540,00;-175.540,00;2.280.540,00;0,00;0,00;175.540,00;2.105.000,00
06.01.071.9454.β.3.31;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 8-14ο ΔΣ Πολίχνης (ΠΡΟΚΑΤ-12Θ);0,00;1.800.000,00;1.800.000,00;-175.540,00;1.975.540,00;-175.540,00;0,00;-175.540,00;1.975.540,00;-175.540,00;1.975.540,00;0,00;0,00;175.540,00;1.800.000,00
06.01.071.9454.β.3.33;Επιχορηγήσεις για Εκπαίδευση - ΣΑΕΠ 008/8-Προσθήκη στο 3ο Γενικό Λύκειο Χορτιάτη;0,00;305.000,00;305.000,00;0,00;305.000,00;0,00;0,00;0,00;305.000,00;0,00;305.000,00;0,00;0,00;0,00;305.000,00
06.01.071.9459;Επιχορηγήσεις για διάφορα έργα;0,00;233.977,66;233.977,66;79.793,48;154.184,18;79.793,48;0,00;79.793,48;154.184,18;79.793,48;154.184,18;0,00;0,00;-79.793,48;233.977,66
06.01.071.9459.α;Επιχορηγήσεις για διάφορα έργα;0,00;233.977,66;233.977,66;79.793,48;154.184,18;79.793,48;0,00;79.793,48;154.184,18;79.793,48;154.184,18;0,00;0,00;-79.793,48;233.977,66
06.01.071.9459.α.1;Επιχορηγήσεις για διάφορα έργα - Τόκοι;0,00;0,00;0,00;10.273,72;-10.273,72;10.273,72;0,00;10.273,72;-10.273,72;10.273,72;-10.273,72;0,00;0,00;-10.273,72;0,00
06.01.071.9459.α.3;Επιχορηγήσεις για διάφορα έργα ΣΑΝΑ 3;0,00;233.977,66;233.977,66;69.519,76;164.457,90;69.519,76;0,00;69.519,76;164.457,90;69.519,76;164.457,90;0,00;0,00;-69.519,76;233.977,66
06.01.071.9459.α.3.9;Επιχορηγήσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;0,00;233.977,66;233.977,66;69.519,76;164.457,90;69.519,76;0,00;69.519,76;164.457,90;69.519,76;164.457,90;0,00;0,00;-69.519,76;233.977,66
06.01.071.9470;Επιχορηγήσεις διαφόρων Υπουργείων για ειδικά έργα προγράμματος Δ.Ε.;0,00;385.342,62;385.342,62;334.431,97;50.910,65;334.431,97;0,00;334.431,97;50.910,65;334.431,97;50.910,65;0,00;0,00;-334.431,97;385.342,62
06.01.071.9471;Επιχορηγήσεις Υπουργείου Εσωτερικών Δημ. Διοίκηησης  και Αποκέντρωσης;0,00;0,00;0,00;-31.571,17;31.571,17;-31.571,17;0,00;-31.571,17;31.571,17;-31.571,17;31.571,17;0,00;0,00;31.571,17;0,00
06.01.071.9471.α;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;0,00;0,00;0,00;-31.571,17;31.571,17;-31.571,17;0,00;-31.571,17;31.571,17;-31.571,17;31.571,17;0,00;0,00;31.571,17;0,00
06.01.071.9471.α.3;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ;0,00;0,00;0,00;-31.571,17;31.571,17;-31.571,17;0,00;-31.571,17;31.571,17;-31.571,17;31.571,17;0,00;0,00;31.571,17;0,00
06.01.071.9472;Επιχορηγήσεις Υπουργείου Εθνικής Παιδειάς;0,00;371.926,62;371.926,62;300.350,58;71.576,04;300.350,58;0,00;300.350,58;71.576,04;300.350,58;71.576,04;0,00;0,00;-300.350,58;371.926,62
06.01.071.9472.α;Πρόγραμμα Σχολικής Στέγης;0,00;371.926,62;371.926,62;300.350,58;71.576,04;300.350,58;0,00;300.350,58;71.576,04;300.350,58;71.576,04;0,00;0,00;-300.350,58;371.926,62
06.01.071.9472.α.0;Πρόγραμμα Σχολικής Στέγης - Γενικά;0,00;371.926,62;371.926,62;300.350,58;71.576,04;300.350,58;0,00;300.350,58;71.576,04;300.350,58;71.576,04;0,00;0,00;-300.350,58;371.926,62
06.01.071.9474;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού;0,00;0,00;0,00;65.652,56;-65.652,56;65.652,56;0,00;65.652,56;-65.652,56;65.652,56;-65.652,56;0,00;0,00;-65.652,56;0,00
06.01.071.9474.0;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού  - ΓΓΑ ( 231/12 8516137 12 );0,00;0,00;0,00;65.652,56;-65.652,56;65.652,56;0,00;65.652,56;-65.652,56;65.652,56;-65.652,56;0,00;0,00;-65.652,56;0,00
06.01.071.9474.0.50;Κατασκευή στίβου & λοιπές εργασίες στα ΤΕΦΑΑ Πανεπιστημίου στη Θέρμη-αποδυτήρια στα γήπεδα Π1-Π2-Π3-Π6,συνθετικός χλοοτάπητας & ηλεκτροφωτισμός στα γήπεδα Π1-Π2;0,00;0,00;0,00;65.652,56;-65.652,56;65.652,56;0,00;65.652,56;-65.652,56;65.652,56;-65.652,56;0,00;0,00;-65.652,56;0,00
06.01.071.9479;Επιχορηγήσεις άλλων Υπουργείων;0,00;13.416,00;13.416,00;0,00;13.416,00;0,00;0,00;0,00;13.416,00;0,00;13.416,00;0,00;0,00;0,00;13.416,00
06.01.071.9479.στ;Επιχορηγήσεις  - Υπουργείου Εργασίας;0,00;13.416,00;13.416,00;0,00;13.416,00;0,00;0,00;0,00;13.416,00;0,00;13.416,00;0,00;0,00;0,00;13.416,00
06.01.071.9900;Επιχορηγήσεις ΕΕ για λοιπούς σκοπούς;0,00;0,00;0,00;-8.100,40;8.100,40;-8.100,40;0,00;-8.100,40;8.100,40;-8.100,40;8.100,40;0,00;0,00;8.100,40;0,00
06.01.071.9910;Επνδύσεις από έσοδα Ευρωπαϊκής Ένωσης.;0,00;0,00;0,00;-8.100,40;8.100,40;-8.100,40;0,00;-8.100,40;8.100,40;-8.100,40;8.100,40;0,00;0,00;8.100,40;0,00
06.01.071.9919;Επιχορηγήσεις για λοιπούς σκοπούς;0,00;0,00;0,00;-8.100,40;8.100,40;-8.100,40;0,00;-8.100,40;8.100,40;-8.100,40;8.100,40;0,00;0,00;8.100,40;0,00
06.01.071.9919.0;Επιχορηγήσεις για λοιπούς σκοπούς;0,00;0,00;0,00;13.803,01;-13.803,01;13.803,01;0,00;13.803,01;-13.803,01;13.803,01;-13.803,01;0,00;0,00;-13.803,01;0,00
06.01.071.9919.6;Επιχορηγήσεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 RECULTIVATUR;0,00;0,00;0,00;-11.630,00;11.630,00;-11.630,00;0,00;-11.630,00;11.630,00;-11.630,00;11.630,00;0,00;0,00;11.630,00;0,00
06.01.071.9919.7;Επιχορηγησεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 Καλυψη εθν συμ/χης WIDE;0,00;0,00;0,00;-10.273,41;10.273,41;-10.273,41;0,00;-10.273,41;10.273,41;-10.273,41;10.273,41;0,00;0,00;10.273,41;0,00
06.01.071.Τ100;ΤΑΜΕΙΑΚΟ ΥΠΟΛΟΙΠΟ;4.438.112,20;318.345,77;4.756.457,97;0,00;4.756.457,97;0,00;0,00;0,00;4.756.457,97;0,00;4.756.457,97;0,00;0,00;0,00;4.756.457,97
06.01.071.Τ110;Ταμειακό υπόλοιπο για την κάλυψη έργων του Π.Δ.Ε. ή έργων ΣΑΝΑ (Τράπεζα Ελλάδος);3.749.404,86;318.345,77;4.067.750,63;0,00;4.067.750,63;0,00;0,00;0,00;4.067.750,63;0,00;4.067.750,63;0,00;0,00;0,00;4.067.750,63
06.01.071.Τ120;Ταμειακό υπόλοιπο για την κάλυψη υποχρεώσεων παρελθόντων ετών (ATEbank);688.707,34;0,00;688.707,34;0,00;688.707,34;0,00;0,00;0,00;688.707,34;0,00;688.707,34;0,00;0,00;0,00;688.707,34
06.01.151;ΥΓΕΙΑΣ & ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ;10.150.129,40;1.578.571,02;11.728.700,42;8.515.200,66;3.213.499,76;8.515.200,66;0,00;8.515.200,66;3.213.499,76;8.515.200,66;3.213.499,76;0,00;0,00;-8.515.200,66;11.728.700,42
06.01.151.0000;Επιχορηγήσεις;1.650.129,40;0,00;1.650.129,40;1.066.770,00;583.359,40;1.066.770,00;0,00;1.066.770,00;583.359,40;1.066.770,00;583.359,40;0,00;0,00;-1.066.770,00;1.650.129,40
06.01.151.0100;Επιχορήγηση από τον τακτικό κρατικό προϋπολογισμό;1.650.129,40;0,00;1.650.129,40;1.066.770,00;583.359,40;1.066.770,00;0,00;1.066.770,00;583.359,40;1.066.770,00;583.359,40;0,00;0,00;-1.066.770,00;1.650.129,40
06.01.151.0150;Επιχορηγήσεις για την κάλυψη του κόστους κρατικών αρμοδιοτήτων που μεταβιβάστηκαν στις Περιφέρειες.;1.650.129,40;0,00;1.650.129,40;1.066.770,00;583.359,40;1.066.770,00;0,00;1.066.770,00;583.359,40;1.066.770,00;583.359,40;0,00;0,00;-1.066.770,00;1.650.129,40
06.01.151.0158;Επιχορήγηση (002513-79).;1.650.129,40;0,00;1.650.129,40;1.066.770,00;583.359,40;1.066.770,00;0,00;1.066.770,00;583.359,40;1.066.770,00;583.359,40;0,00;0,00;-1.066.770,00;1.650.129,40
06.01.151.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;8.500.000,00;0,00;8.500.000,00;7.250.000,00;1.250.000,00;7.250.000,00;0,00;7.250.000,00;1.250.000,00;7.250.000,00;1.250.000,00;0,00;0,00;-7.250.000,00;8.500.000,00
06.01.151.1200;Έσοδα από τέλη και δικαιώματα;8.500.000,00;0,00;8.500.000,00;7.250.000,00;1.250.000,00;7.250.000,00;0,00;7.250.000,00;1.250.000,00;7.250.000,00;1.250.000,00;0,00;0,00;-7.250.000,00;8.500.000,00
06.01.151.1250;Έσοδα Περιφερειών  από Κεντρικούς Αυτοτελείς Πόρους.;8.500.000,00;0,00;8.500.000,00;7.250.000,00;1.250.000,00;7.250.000,00;0,00;7.250.000,00;1.250.000,00;7.250.000,00;1.250.000,00;0,00;0,00;-7.250.000,00;8.500.000,00
06.01.151.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;8.500.000,00;0,00;8.500.000,00;7.250.000,00;1.250.000,00;7.250.000,00;0,00;7.250.000,00;1.250.000,00;7.250.000,00;1.250.000,00;0,00;0,00;-7.250.000,00;8.500.000,00
06.01.151.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;78.571,02;78.571,02;135.598,89;-57.027,87;135.598,89;0,00;135.598,89;-57.027,87;135.598,89;-57.027,87;0,00;0,00;-135.598,89;78.571,02
06.01.151.3500;Πρόσοδοι του Ν.Π.Δ.Δ από κεφάλαια, κινητές αξίες και λοιπές περιπτώσεις;0,00;78.571,02;78.571,02;135.598,89;-57.027,87;135.598,89;0,00;135.598,89;-57.027,87;135.598,89;-57.027,87;0,00;0,00;-135.598,89;78.571,02
06.01.151.3510;Τόκοι  κεφαλαίων;0,00;78.571,02;78.571,02;135.598,89;-57.027,87;135.598,89;0,00;135.598,89;-57.027,87;135.598,89;-57.027,87;0,00;0,00;-135.598,89;78.571,02
06.01.151.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;78.571,02;78.571,02;135.598,89;-57.027,87;135.598,89;0,00;135.598,89;-57.027,87;135.598,89;-57.027,87;0,00;0,00;-135.598,89;78.571,02
06.01.151.3511.β;Τόκοι από καταθέσεις σε Τράπεζες (002162-93);0,00;0,00;0,00;1.185,63;-1.185,63;1.185,63;0,00;1.185,63;-1.185,63;1.185,63;-1.185,63;0,00;0,00;-1.185,63;0,00
06.01.151.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (003170-79).;0,00;0,00;0,00;0,11;-0,11;0,11;0,00;0,11;-0,11;0,11;-0,11;0,00;0,00;-0,11;0,00
06.01.151.3511.ι;Τόκοι από καταθέσεις σε Τράπεζες (003137-22);0,00;78.571,02;78.571,02;130.970,86;-52.399,84;130.970,86;0,00;130.970,86;-52.399,84;130.970,86;-52.399,84;0,00;0,00;-130.970,86;78.571,02
06.01.151.3511.λ;Τόκοι από καταθέσεις σε Τράπεζες (002513-79).;0,00;0,00;0,00;3.442,29;-3.442,29;3.442,29;0,00;3.442,29;-3.442,29;3.442,29;-3.442,29;0,00;0,00;-3.442,29;0,00
06.01.151.5000;Λοιπά Εσοδα;0,00;0,00;0,00;62.831,77;-62.831,77;62.831,77;0,00;62.831,77;-62.831,77;62.831,77;-62.831,77;0,00;0,00;-62.831,77;0,00
06.01.151.5500;Επιστροφές Χρημάτων;0,00;0,00;0,00;62.831,77;-62.831,77;62.831,77;0,00;62.831,77;-62.831,77;62.831,77;-62.831,77;0,00;0,00;-62.831,77;0,00
06.01.151.5520;Επιστροφές χρημάτων που καταβλήθηκαν χωρίς να οφείλονται.;0,00;0,00;0,00;62.831,77;-62.831,77;62.831,77;0,00;62.831,77;-62.831,77;62.831,77;-62.831,77;0,00;0,00;-62.831,77;0,00
06.01.151.5529;Λοιπές επιστροφές ποσών που καταβλήθηκαν χωρίς να οφείλονται;0,00;0,00;0,00;62.831,77;-62.831,77;62.831,77;0,00;62.831,77;-62.831,77;62.831,77;-62.831,77;0,00;0,00;-62.831,77;0,00
