Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06.00.072α.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
06.00.072α.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
06.00.072α.1250;Έσοδα Περιφερειών από Κ.Α.Π.;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
06.00.072α.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
06.00.072α.1252.α;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;0,00;-2.741.774,57;2.741.774,57;-2.741.774,57;2.741.774,57;0,00;0,00;2.741.774,57;0,00
06.00.072δ;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ  ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;5.217.561,60;-2.017.284,71;3.200.276,89;-2.109.472,60;5.309.749,49;-2.109.472,60;0,00;-2.109.472,60;5.309.749,49;-2.109.472,60;5.309.749,49;0,00;0,00;2.109.472,60;3.200.276,89
06.00.072δ.1000;Νομαρχειακό Πρόγραμμα Επενδύσεων χρηματοδοτούμενο από Κ.Α.Π.;5.217.561,60;-2.031.262,83;3.186.298,77;-2.143.870,87;5.330.169,64;-2.143.870,87;0,00;-2.143.870,87;5.330.169,64;-2.143.870,87;5.330.169,64;0,00;0,00;2.143.870,87;3.186.298,77
06.00.072δ.1200;Έσοδα από τέλη και δικαιώματα;5.217.561,60;-2.031.262,83;3.186.298,77;-2.143.870,87;5.330.169,64;-2.143.870,87;0,00;-2.143.870,87;5.330.169,64;-2.143.870,87;5.330.169,64;0,00;0,00;2.143.870,87;3.186.298,77
06.00.072δ.1250;Έσοδα Περιφερειών από Κ.Α.Π.;5.217.561,60;-2.031.262,83;3.186.298,77;-2.143.870,87;5.330.169,64;-2.143.870,87;0,00;-2.143.870,87;5.330.169,64;-2.143.870,87;5.330.169,64;0,00;0,00;2.143.870,87;3.186.298,77
06.00.072δ.1251;Έσοδα από Κ.Α.Π. για επενδύσεις χρηματοδοτούμενες αποκλειστικά από εθνικούς πόρους;5.217.561,60;-2.031.262,83;3.186.298,77;-2.143.870,87;5.330.169,64;-2.143.870,87;0,00;-2.143.870,87;5.330.169,64;-2.143.870,87;5.330.169,64;0,00;0,00;2.143.870,87;3.186.298,77
06.00.072δ.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;13.978,12;13.978,12;34.295,27;-20.317,15;34.295,27;0,00;34.295,27;-20.317,15;34.295,27;-20.317,15;0,00;0,00;-34.295,27;13.978,12
06.00.072δ.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;13.978,12;13.978,12;34.295,27;-20.317,15;34.295,27;0,00;34.295,27;-20.317,15;34.295,27;-20.317,15;0,00;0,00;-34.295,27;13.978,12
06.00.072δ.3510;Τόκοι κεφαλαίων;0,00;13.978,12;13.978,12;34.295,27;-20.317,15;34.295,27;0,00;34.295,27;-20.317,15;34.295,27;-20.317,15;0,00;0,00;-34.295,27;13.978,12
06.00.072δ.3511;Τόκοι από καταθέσεις σε Τράπεζες;0,00;13.978,12;13.978,12;34.295,27;-20.317,15;34.295,27;0,00;34.295,27;-20.317,15;34.295,27;-20.317,15;0,00;0,00;-34.295,27;13.978,12
06.00.072δ.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002459-76).;0,00;13.978,12;13.978,12;34.295,27;-20.317,15;34.295,27;0,00;34.295,27;-20.317,15;34.295,27;-20.317,15;0,00;0,00;-34.295,27;13.978,12
06.00.072δ.5000;Λοιπά Εσοδα;0,00;0,00;0,00;103,00;-103,00;103,00;0,00;103,00;-103,00;103,00;-103,00;0,00;0,00;-103,00;0,00
06.00.072δ.5500;Επιστροφές Χρημάτων;0,00;0,00;0,00;103,00;-103,00;103,00;0,00;103,00;-103,00;103,00;-103,00;0,00;0,00;-103,00;0,00
06.00.072δ.5510;Επιστροφή χρημάτων για τακτοποίηση ΧΕΠ και προκαταβολών;0,00;0,00;0,00;103,00;-103,00;103,00;0,00;103,00;-103,00;103,00;-103,00;0,00;0,00;-103,00;0,00
06.00.072δ.5511;Επιστροφή χρημάτων για τακτοποίηση ΧΕΠ;0,00;0,00;0,00;103,00;-103,00;103,00;0,00;103,00;-103,00;103,00;-103,00;0,00;0,00;-103,00;0,00
06.00.072δ.5511.α;Επιστροφή χρημάτων για τακτοποίηση ΧΕΠ (3146-20);0,00;0,00;0,00;103,00;-103,00;103,00;0,00;103,00;-103,00;103,00;-103,00;0,00;0,00;-103,00;0,00
06.00.151;ΥΓΕΙΑΣ & ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ;0,00;0,00;0,00;-141.232,84;141.232,84;-141.232,84;0,00;-141.232,84;141.232,84;-141.232,84;141.232,84;0,00;0,00;141.232,84;0,00
06.00.151.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;-141.232,84;141.232,84;-141.232,84;0,00;-141.232,84;141.232,84;-141.232,84;141.232,84;0,00;0,00;141.232,84;0,00
06.00.151.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;-141.232,84;141.232,84;-141.232,84;0,00;-141.232,84;141.232,84;-141.232,84;141.232,84;0,00;0,00;141.232,84;0,00
06.00.151.1250;Έσοδα Περιφερειών από ΚΑΠ;0,00;0,00;0,00;-141.232,84;141.232,84;-141.232,84;0,00;-141.232,84;141.232,84;-141.232,84;141.232,84;0,00;0,00;141.232,84;0,00
06.00.151.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;-141.232,84;141.232,84;-141.232,84;0,00;-141.232,84;141.232,84;-141.232,84;141.232,84;0,00;0,00;141.232,84;0,00
06.00.191;ΥΠΗΡΕΣΙΕΣ ΠΡΩΤΟΒΑΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ;0,00;0,00;0,00;490.124,08;-490.124,08;490.124,08;0,00;490.124,08;-490.124,08;490.124,08;-490.124,08;0,00;0,00;-490.124,08;0,00
06.00.191.0000;Επιχορηγήσεις;0,00;0,00;0,00;489.274,08;-489.274,08;489.274,08;0,00;489.274,08;-489.274,08;489.274,08;-489.274,08;0,00;0,00;-489.274,08;0,00
06.00.191.0100;Επιχορήγηση από τον τακτικό κρατικό προϋπολογισμό;0,00;0,00;0,00;489.274,08;-489.274,08;489.274,08;0,00;489.274,08;-489.274,08;489.274,08;-489.274,08;0,00;0,00;-489.274,08;0,00
06.00.191.0140;Επιχορηγήσεις για εκπαιδευτικούς σκοπούς;0,00;0,00;0,00;489.274,08;-489.274,08;489.274,08;0,00;489.274,08;-489.274,08;489.274,08;-489.274,08;0,00;0,00;-489.274,08;0,00
06.00.191.0149;Επιχορηγήσεις για λοιπούς εκπαιδευτικούς σκοπούς;0,00;0,00;0,00;489.274,08;-489.274,08;489.274,08;0,00;489.274,08;-489.274,08;489.274,08;-489.274,08;0,00;0,00;-489.274,08;0,00
06.00.191.1000;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;850,00;-850,00;850,00;0,00;850,00;-850,00;850,00;-850,00;0,00;0,00;-850,00;0,00
06.00.191.1200;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;850,00;-850,00;850,00;0,00;850,00;-850,00;850,00;-850,00;0,00;0,00;-850,00;0,00
06.00.191.1250;Έσοδα Περιφερειών από Κ.Α.Π.;0,00;0,00;0,00;850,00;-850,00;850,00;0,00;850,00;-850,00;850,00;-850,00;0,00;0,00;-850,00;0,00
06.00.191.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;850,00;-850,00;850,00;0,00;850,00;-850,00;850,00;-850,00;0,00;0,00;-850,00;0,00
06.00.292;ΥΠΗΡΕΣΙΕΣ ΚΤΗΝΟΤΡΟΦΙΑΣ;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.00.292.0000;Επιχορηγήσεις;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.00.292.0100;Επιχορήγηση από τον τακτικό κρατικό προϋπολογισμό;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.00.292.0150;Επιχορήγηση για την κάλυψη του κόστους κρατικών αρμοδιοτήτων που μεταβιβάστηκαν στις Περιφέρειες;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.00.292.0159;Επιχορήγηση  για λοιπές δαπάνες;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.00.292.0159.α;Επιχορήγηση  για λοιπές δαπάνες;0,00;0,00;0,00;650,00;-650,00;650,00;0,00;650,00;-650,00;650,00;-650,00;0,00;0,00;-650,00;0,00
06.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;131.270.196,20;-10.330.407,07;120.939.789,13;48.151.037,91;72.788.751,22;48.151.037,91;0,00;48.151.037,91;72.788.751,22;48.151.037,91;72.788.751,22;0,00;0,00;-48.151.037,91;120.939.789,13
06.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);7.303.733,06;12.945.409,70;20.249.142,76;10.718.243,19;9.530.899,57;10.718.243,19;0,00;10.718.243,19;9.530.899,57;10.718.243,19;9.530.899,57;0,00;0,00;-10.718.243,19;20.249.142,76
06.01.071.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;5.221,08;-5.221,08;5.221,08;0,00;5.221,08;-5.221,08;5.221,08;-5.221,08;0,00;0,00;-5.221,08;0,00
06.01.071.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;5.221,08;-5.221,08;5.221,08;0,00;5.221,08;-5.221,08;5.221,08;-5.221,08;0,00;0,00;-5.221,08;0,00
06.01.071.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;5.221,08;-5.221,08;5.221,08;0,00;5.221,08;-5.221,08;5.221,08;-5.221,08;0,00;0,00;-5.221,08;0,00
06.01.071.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;5.221,08;-5.221,08;5.221,08;0,00;5.221,08;-5.221,08;5.221,08;-5.221,08;0,00;0,00;-5.221,08;0,00
06.01.071.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (002153-95).;0,00;0,00;0,00;4.412,61;-4.412,61;4.412,61;0,00;4.412,61;-4.412,61;4.412,61;-4.412,61;0,00;0,00;-4.412,61;0,00
06.01.071.3511.β;Τόκοι από καταθέσεις σε Τράπεζες (002270-85).;0,00;0,00;0,00;406,12;-406,12;406,12;0,00;406,12;-406,12;406,12;-406,12;0,00;0,00;-406,12;0,00
06.01.071.3511.γ;Τόκοι από καταθέσεις σε Τράπεζες (003088-39).;0,00;0,00;0,00;16,41;-16,41;16,41;0,00;16,41;-16,41;16,41;-16,41;0,00;0,00;-16,41;0,00
06.01.071.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (002347-09).;0,00;0,00;0,00;39,04;-39,04;39,04;0,00;39,04;-39,04;39,04;-39,04;0,00;0,00;-39,04;0,00
06.01.071.3511.ε;Τόκοι από καταθέσεις σε Τράπεζες (003143-85).;0,00;0,00;0,00;346,90;-346,90;346,90;0,00;346,90;-346,90;346,90;-346,90;0,00;0,00;-346,90;0,00
06.01.071.9000;Έσοδα απο επιχορηγήσεις κλπ για επενδύσεις;0,00;12.945.409,70;12.945.409,70;10.713.022,11;2.232.387,59;10.713.022,11;0,00;10.713.022,11;2.232.387,59;10.713.022,11;2.232.387,59;0,00;0,00;-10.713.022,11;12.945.409,70
06.01.071.9400;Επιχορηγήσεις απο τον Π/Υ Δημοσίων Επενδύσεων;0,00;10.192.086,65;10.192.086,65;10.114.904,69;77.181,96;10.114.904,69;0,00;10.114.904,69;77.181,96;10.114.904,69;77.181,96;0,00;0,00;-10.114.904,69;10.192.086,65
06.01.071.9450;Επιχορηγήσεις από το περιφερειακό πρόγραμμα Δ.Ε.;0,00;2.477.647,88;2.477.647,88;1.105.131,66;1.372.516,22;1.105.131,66;0,00;1.105.131,66;1.372.516,22;1.105.131,66;1.372.516,22;0,00;0,00;-1.105.131,66;2.477.647,88
06.01.071.9453;Επιχορηγήσεις για Συγκοινωνίες - Σιδηροδρόμους;0,00;0,00;0,00;-37.671,07;37.671,07;-37.671,07;0,00;-37.671,07;37.671,07;-37.671,07;37.671,07;0,00;0,00;37.671,07;0,00
06.01.071.9453.α;Επιχορηγήσεις για Συγκοινωνίες;0,00;0,00;0,00;-37.671,07;37.671,07;-37.671,07;0,00;-37.671,07;37.671,07;-37.671,07;37.671,07;0,00;0,00;37.671,07;0,00
06.01.071.9453.α.4;Επιχορηγήσεις για Συγκοινωνίες - Ε.Α.Π.;0,00;0,00;0,00;-37.671,07;37.671,07;-37.671,07;0,00;-37.671,07;37.671,07;-37.671,07;37.671,07;0,00;0,00;37.671,07;0,00
06.01.071.9453.α.4.κ;Επιχορηγήσεις για Συγκοινωνίες - Ε.Α.Π. 2003ΕΠ20800111 - Συντήρηση, αποκατάσταση φωτεινών σηματοδοτών επαρχιακού οδικού δικτύου Ν. Θεσ/νίκης ( 18 036 20800111 016 );0,00;0,00;0,00;-37.671,07;37.671,07;-37.671,07;0,00;-37.671,07;37.671,07;-37.671,07;37.671,07;0,00;0,00;37.671,07;0,00
06.01.071.9454;Επιχορηγήσεις για Τουρισμό - Μουσεία - Μνημεία - Εκπαίδευση;0,00;1.541.839,28;1.541.839,28;611.077,33;930.761,95;611.077,33;0,00;611.077,33;930.761,95;611.077,33;930.761,95;0,00;0,00;-611.077,33;1.541.839,28
06.01.071.9454.β;Επιχορηγήσεις για Εκπαίδευση;0,00;1.541.839,28;1.541.839,28;611.077,33;930.761,95;611.077,33;0,00;611.077,33;930.761,95;611.077,33;930.761,95;0,00;0,00;-611.077,33;1.541.839,28
06.01.071.9454.β.3;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;1.541.839,28;1.541.839,28;611.077,33;930.761,95;611.077,33;0,00;611.077,33;930.761,95;611.077,33;930.761,95;0,00;0,00;-611.077,33;1.541.839,28
06.01.071.9454.β.3.0;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 8 Γενικά;0,00;927.411,43;927.411,43;0,00;927.411,43;0,00;0,00;0,00;927.411,43;0,00;927.411,43;0,00;0,00;0,00;927.411,43
06.01.071.9454.β.3.21;Επιχορηγήσεις για Εκπαίδευση - ΣΑΝΑ 8 Προσθήκη κτιρίου στο συγκρότημα ΤΕΕ Ευκλείδη-Συμπληρωματική Σύμβαση[2010ΝΑ01880003];0,00;164.427,85;164.427,85;161.077,33;3.350,52;161.077,33;0,00;161.077,33;3.350,52;161.077,33;3.350,52;0,00;0,00;-161.077,33;164.427,85
06.01.071.9454.β.3.29;Επιχορηγήσεις  για εκπαίδευση - ΣΑΕΠ 008/8-6-θέσιο Δημοτικό Σχολείο Κερασιάς Δήμου Ν. Μηχανιώνας;0,00;250.000,00;250.000,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;-250.000,00;250.000,00
06.01.071.9454.β.3.30;Επιχορηγήσεις  για εκπαίδευση - ΣΑΕΠ 008/8-2ο Γυμνάσιο Ευκαρπίας (προκατ 12/θ);0,00;200.000,00;200.000,00;200.000,00;0,00;200.000,00;0,00;200.000,00;0,00;200.000,00;0,00;0,00;0,00;-200.000,00;200.000,00
06.01.071.9456;Επιχορηγήσεις για Ύδρευση & Αποχέτευση;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00
06.01.071.9456.0;Επιχορηγήσεις για Ύδρευση & Αποχέτευση;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00
06.01.071.9456.0.2;Επιχορηγήσεις για Ύδρευση & Αποχέτευση - ΣΑΕΠ 008/8;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00
06.01.071.9458;Επιχορηγήσεις για Αποθεματικό Εκτάκτων Αναγκών;0,00;138,60;138,60;0,00;138,60;0,00;0,00;0,00;138,60;0,00;138,60;0,00;0,00;0,00;138,60
06.01.071.9458.β;Αποθεματικό εκτάκτων αναγκών;0,00;138,60;138,60;0,00;138,60;0,00;0,00;0,00;138,60;0,00;138,60;0,00;0,00;0,00;138,60
06.01.071.9458.β.3;Αποθεματικό εκτάκτων αναγκών - ΣΑΝΑ 3;0,00;138,60;138,60;0,00;138,60;0,00;0,00;0,00;138,60;0,00;138,60;0,00;0,00;0,00;138,60
06.01.071.9458.β.3.1;Αποθεματικό εκτάκτων αναγκών - ΣΑΝΑ 3 Οδοιπορικά ( 31 024 01830002 014 );0,00;138,60;138,60;0,00;138,60;0,00;0,00;0,00;138,60;0,00;138,60;0,00;0,00;0,00;138,60
06.01.071.9459;Επιχορηγήσεις για διάφορα έργα;0,00;835.670,00;835.670,00;531.725,40;303.944,60;531.725,40;0,00;531.725,40;303.944,60;531.725,40;303.944,60;0,00;0,00;-531.725,40;835.670,00
06.01.071.9459.α;Επιχορηγήσεις για διάφορα έργα;0,00;835.670,00;835.670,00;531.725,40;303.944,60;531.725,40;0,00;531.725,40;303.944,60;531.725,40;303.944,60;0,00;0,00;-531.725,40;835.670,00
06.01.071.9459.α.1;Επιχορηγήσεις για διάφορα έργα - Τόκοι;0,00;0,00;0,00;4.055,40;-4.055,40;4.055,40;0,00;4.055,40;-4.055,40;4.055,40;-4.055,40;0,00;0,00;-4.055,40;0,00
06.01.071.9459.α.3;Επιχορηγήσεις για διάφορα έργα ΣΑΝΑ 3;0,00;835.670,00;835.670,00;527.670,00;308.000,00;527.670,00;0,00;527.670,00;308.000,00;527.670,00;308.000,00;0,00;0,00;-527.670,00;835.670,00
06.01.071.9459.α.3.0;Επιχορηγήσεις για διάφορα έργα - ΣΑΝΑ 3  Γενικά;0,00;527.670,00;527.670,00;0,00;527.670,00;0,00;0,00;0,00;527.670,00;0,00;527.670,00;0,00;0,00;0,00;527.670,00
06.01.071.9459.α.3.13;Επενδύσεις  για διάφορα έργα - ΣΑΝΑ 8 Ανάπτυξη και διάθεση εφαρμογών ηλεκτρονικής επικοινωνίας και Δημοκρατίας για την προώθηση της ευρυζωνικότητας στη ΝΑ Θεσσαλονίκης;0,00;0,00;0,00;527.670,00;-527.670,00;527.670,00;0,00;527.670,00;-527.670,00;527.670,00;-527.670,00;0,00;0,00;-527.670,00;0,00
06.01.071.9459.α.3.9;Επιχορηγήσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;0,00;308.000,00;308.000,00;0,00;308.000,00;0,00;0,00;0,00;308.000,00;0,00;308.000,00;0,00;0,00;0,00;308.000,00
06.01.071.9460;Επιχορηγήσεις από το Πρόγραμμα  Παραμεθορίων Περιοχών;0,00;0,00;0,00;-22.146,58;22.146,58;-22.146,58;0,00;-22.146,58;22.146,58;-22.146,58;22.146,58;0,00;0,00;22.146,58;0,00
06.01.071.9461;Επιχορηγήσεις Προγράμματος Παραμεθωρίων Περιοχών;0,00;0,00;0,00;-22.146,58;22.146,58;-22.146,58;0,00;-22.146,58;22.146,58;-22.146,58;22.146,58;0,00;0,00;22.146,58;0,00
06.01.071.9461.0;Επιχορηγήσεις Προγράμματος Παραμεθωρίων Περιοχών Υ.ΜΑ.Θ.;0,00;0,00;0,00;-22.146,58;22.146,58;-22.146,58;0,00;-22.146,58;22.146,58;-22.146,58;22.146,58;0,00;0,00;22.146,58;0,00
06.01.071.9461.0.4;Πρόγραμμα Παραμεθόριων Περιοχών Π.Δ.Ε;0,00;0,00;0,00;-22.146,58;22.146,58;-22.146,58;0,00;-22.146,58;22.146,58;-22.146,58;22.146,58;0,00;0,00;22.146,58;0,00
06.01.071.9470;Επιχορηγήσεις διαφόρων Υπουργείων για ειδικά έργα προγράμματος Δ.Ε.;0,00;7.714.438,77;7.714.438,77;9.031.919,61;-1.317.480,84;9.031.919,61;0,00;9.031.919,61;-1.317.480,84;9.031.919,61;-1.317.480,84;0,00;0,00;-9.031.919,61;7.714.438,77
06.01.071.9471;Επιχορηγήσεις Υπουργείου Εσωτερικών Δημ. Διοίκηησης  και Αποκέντρωσης;0,00;30.000,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.01.071.9471.α;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;0,00;30.000,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.01.071.9471.α.3;Επιχορηγήσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ;0,00;30.000,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00;0,00;30.000,00;0,00;0,00;0,00;30.000,00
06.01.071.9474;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού;0,00;468.078,38;468.078,38;2.096.327,96;-1.628.249,58;2.096.327,96;0,00;2.096.327,96;-1.628.249,58;2.096.327,96;-1.628.249,58;0,00;0,00;-2.096.327,96;468.078,38
06.01.071.9474.0;Επιχορηγήσεις για έργα Υπουργείου Πολιτισμού  - ΓΓΑ ( 231/12 8516137 12 );0,00;468.078,38;468.078,38;2.096.327,96;-1.628.249,58;2.096.327,96;0,00;2.096.327,96;-1.628.249,58;2.096.327,96;-1.628.249,58;0,00;0,00;-2.096.327,96;468.078,38
