Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02.00.072δ.9899.γ;Αποπληρωμή οφειλών έργων σχολικής στέγης;0,00;1.819.309,43;1.819.309,43;1.018.565,56;800.743,87;1.018.565,56;800.743,87;1.018.565,56;800.743,87;1.018.565,56;800.743,87;0,00;0,00;-1.018.565,56;1.819.309,43;1.018.565,56
02.00.072δ.9899.δ;Σύνταξη επιχειρησιακού προγράμματος;0,00;15.000,00;15.000,00;2.118,54;12.881,46;2.118,54;12.881,46;2.118,54;12.881,46;2.118,54;12.881,46;0,00;0,00;-2.118,54;15.000,00;2.118,54
02.00.072δ.9899.ε;Αξιοποίηση γεωθερμικού πεδίου Πέλλας - Ημαθίας - Θεσσαλονίκης;0,00;56.000,00;56.000,00;0,00;56.000,00;0,00;56.000,00;0,00;56.000,00;0,00;56.000,00;0,00;0,00;0,00;56.000,00;0,00
02.00.072δ.9899.στ;Διερεύνηση παραγωγής ζωοκομικών προϊόντων ποιότητας με χρήση σπερμάτων κτηνοτροφικών ψυχανθών;0,00;5.000,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;5.000,00;0,00;0,00;0,00;5.000,00;0,00
02.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;131.270.196,20;-10.330.407,07;120.939.789,13;43.621.062,72;77.318.726,41;40.658.884,96;80.280.904,17;47.056.086,35;73.883.702,78;40.546.405,80;80.393.383,33;6.509.680,55;0,00;-40.658.884,96;120.939.789,13;43.621.062,72
02.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);7.303.733,06;12.945.409,70;20.249.142,76;3.666.481,30;16.582.661,46;3.650.176,55;16.598.966,21;3.650.176,55;16.598.966,21;3.650.176,55;16.598.966,21;0,00;0,00;-3.650.176,55;20.249.142,76;3.666.481,30
02.01.071.5000;Διάφορες κοινές ή σύνθετες δαπάνες Υπουργείων και Νομαρχιών που δεν έχουν ενταχθεί σε κάποια από τις γενικές κατηγορίες του Κώδικα;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.5100;Διάφορες σύνθετες δαπάνες;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.5110;Τακτικό Αποθεματικό;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.5111;Τακτικό Αποθεματικό;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9000;Πληρωμές για επενδύσεις;7.303.733,06;12.945.409,70;20.249.142,76;3.666.481,30;16.582.661,46;3.650.176,55;16.598.966,21;3.650.176,55;16.598.966,21;3.650.176,55;16.598.966,21;0,00;0,00;-3.650.176,55;20.249.142,76;3.666.481,30
02.01.071.9400;Πληρωμές για επενδύσεις;6.433.358,04;10.192.086,65;16.625.444,69;2.747.139,40;13.878.305,29;2.730.834,74;13.894.609,95;2.730.834,74;13.894.609,95;2.730.834,74;13.894.609,95;0,00;0,00;-2.730.834,74;16.625.444,69;2.747.139,40
02.01.071.9450; Επενδύσεις για Γεωργία - Δάση - Αλιεία;916.374,31;2.477.647,88;3.394.022,19;1.364.598,91;2.029.423,28;1.364.598,91;2.029.423,28;1.364.598,91;2.029.423,28;1.364.598,91;2.029.423,28;0,00;0,00;-1.364.598,91;3.394.022,19;1.364.598,91
02.01.071.9453;Επενδύσεις για Συγκοινωνίες -Σιδηρόδρομοι;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;0,00;0,00;37.671,07;0,00
02.01.071.9453.α;Επενδύσεις για Συγκοινωνίες;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;0,00;0,00;37.671,07;0,00
02.01.071.9453.α.4;Επενδύσεις για Συγκοινωνίες - ΕΑΠ;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;0,00;0,00;37.671,07;0,00
02.01.071.9453.α.4.κ;Επενδύσεις για Συγκοινωνίες - Ε.Α.Π. 2003ΕΠ20800111 - Συντήρηση, αποκατάσταση φωτεινών σηματοδοτών επαρχιακού οδικού δικτύου Ν. Θεσ/νίκης ( 18 036 20800111 016 );37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;37.671,07;0,00;0,00;0,00;37.671,07;0,00
02.01.071.9454;Τουρισμός - Μουσεία - Μνημεία - Εκπαίδευση;0,00;1.541.839,28;1.541.839,28;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;0,00;0,00;-307.298,91;1.541.839,28;307.298,91
02.01.071.9454.β;Επενδύσεις για Εκπαίδευση;0,00;1.541.839,28;1.541.839,28;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;0,00;0,00;-307.298,91;1.541.839,28;307.298,91
02.01.071.9454.β.3;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;1.541.839,28;1.541.839,28;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;307.298,91;1.234.540,37;0,00;0,00;-307.298,91;1.541.839,28;307.298,91
02.01.071.9454.β.3.0;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 3 Γενικά;0,00;927.411,43;927.411,43;0,00;927.411,43;0,00;927.411,43;0,00;927.411,43;0,00;927.411,43;0,00;0,00;0,00;927.411,43;0,00
02.01.071.9454.β.3.21;Εππενδύσεις για Εκπαίδευση - ΣΑΝΑ 8 Προσθήκη κτιρίου στο συγκρότημα ΤΕΕ Ευκλείδη-Συμπληρωματική Σύμβαση[2010ΝΑ01880003];0,00;164.427,85;164.427,85;0,00;164.427,85;0,00;164.427,85;0,00;164.427,85;0,00;164.427,85;0,00;0,00;0,00;164.427,85;0,00
02.01.071.9454.β.3.29;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8-6-θέσιο Δημοτικό Σχολείο Κερασιάς Δήμου Ν. Μηχανιώνας;0,00;250.000,00;250.000,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;-250.000,00;250.000,00;250.000,00
02.01.071.9454.β.3.30;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8-2ο Γυμνάσιο Ευκαρπίας (προκατ 12/θ);0,00;200.000,00;200.000,00;57.298,91;142.701,09;57.298,91;142.701,09;57.298,91;142.701,09;57.298,91;142.701,09;0,00;0,00;-57.298,91;200.000,00;57.298,91
02.01.071.9456;Επενδύσεις για ύδρευση & αποχέτευση;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.01.071.9456.0;Επενδύσεις για Ύδρευση - Αποχέτευση;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.01.071.9456.0.2;Επενδύσεις για Ύδρευση - Αποχέτευση - ΣΑΕΠ 0008/8;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.01.071.9457;Επενδύσεις για Ειδικά Προγράμματα;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;0,00;0,00;3.198,19;0,00
02.01.071.9457.β;Επενδύσεις για Ειδικά Προγράμματα;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;3.198,19;0,00;0,00;0,00;3.198,19;0,00
02.01.071.9457.β.0;Επενδύσεις για Ειδικά Προγράμματα;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;0,00;0,00;270,00;0,00
02.01.071.9457.β.1;"Επενδύσεις για Ειδικά Προγράμματα-""Τοπικές Στρατηγικές για την Απασχόληση & την Καινοτομία στην Π.Κ.Μ.""";2.928,19;0,00;2.928,19;0,00;2.928,19;0,00;2.928,19;0,00;2.928,19;0,00;2.928,19;0,00;0,00;0,00;2.928,19;0,00
02.01.071.9458;Αποθεματικό Εκτάτων Αναγκών;170,90;138,60;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;0,00;0,00;309,50;0,00
02.01.071.9458.β;Αποθεματικό Εκτάτων Αναγκών;170,90;138,60;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;0,00;0,00;309,50;0,00
02.01.071.9458.β.3;Αποθεματικό Εκτάτων Αναγκών - ΣΑΝΑ 3;170,90;138,60;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;0,00;0,00;309,50;0,00
02.01.071.9458.β.3.1;Αποθεματικό Εκτάτων Αναγκών - ΣΑΝΑ 3 Οδοιπορικά ( 31 024 01830002 014 );170,90;138,60;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;309,50;0,00;0,00;0,00;309,50;0,00
02.01.071.9459;Διάφορα;875.334,15;835.670,00;1.711.004,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;0,00;0,00;-1.057.300,00;1.711.004,15;1.057.300,00
02.01.071.9459.α;Επενδύσεις για διάφορα έργα;875.334,15;835.670,00;1.711.004,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;1.057.300,00;653.704,15;0,00;0,00;-1.057.300,00;1.711.004,15;1.057.300,00
02.01.071.9459.α.1;Επενδύσεις για διάφορα έργα - Τόκοι;307.714,15;0,00;307.714,15;0,00;307.714,15;0,00;307.714,15;0,00;307.714,15;0,00;307.714,15;0,00;0,00;0,00;307.714,15;0,00
02.01.071.9459.α.3;Επενδύσεις για διάφορα έργα - ΣΑΝΑ 3;567.620,00;835.670,00;1.403.290,00;1.057.300,00;345.990,00;1.057.300,00;345.990,00;1.057.300,00;345.990,00;1.057.300,00;345.990,00;0,00;0,00;-1.057.300,00;1.403.290,00;1.057.300,00
02.01.071.9459.α.3.0;Επενδύσεις για διάφορα έργα - ΣΑΝΑ 3  Γενικά;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9459.α.3.13;Επενδύσεις  για διάφορα έργα - ΣΑΝΑ 8 Ανάπτυξη και διάθεση εφαρμογών ηλεκτρονικής επικοινωνίας και Δημοκρατίας για την προώθηση της ευρυζωνικότητας στη ΝΑ Θεσσαλονίκης;0,00;527.670,00;527.670,00;527.670,00;0,00;527.670,00;0,00;527.670,00;0,00;527.670,00;0,00;0,00;0,00;-527.670,00;527.670,00;527.670,00
02.01.071.9459.α.3.9;Επενδύσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;567.620,00;308.000,00;875.620,00;529.630,00;345.990,00;529.630,00;345.990,00;529.630,00;345.990,00;529.630,00;345.990,00;0,00;0,00;-529.630,00;875.620,00;529.630,00
02.01.071.9460;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;0,00;0,00;22.146,58;0,00
02.01.071.9461;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;0,00;0,00;22.146,58;0,00
02.01.071.9461.0;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;0,00;0,00;22.146,58;0,00
02.01.071.9461.0.0;Πρόγραμμα Παραμεθώριων Περιοχών - Γενικά;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;22.146,58;0,00;0,00;0,00;22.146,58;0,00
02.01.071.9470;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;5.494.837,15;7.714.438,77;13.209.275,92;1.382.540,49;11.826.735,43;1.366.235,83;11.843.040,09;1.366.235,83;11.843.040,09;1.366.235,83;11.843.040,09;0,00;0,00;-1.366.235,83;13.209.275,92;1.382.540,49
02.01.071.9471;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;366.566,93;30.000,00;396.566,93;115.394,46;281.172,47;115.394,46;281.172,47;115.394,46;281.172,47;115.394,46;281.172,47;0,00;0,00;-115.394,46;396.566,93;115.394,46
02.01.071.9471.α;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;366.566,93;30.000,00;396.566,93;115.394,46;281.172,47;115.394,46;281.172,47;115.394,46;281.172,47;115.394,46;281.172,47;0,00;0,00;-115.394,46;396.566,93;115.394,46
02.01.071.9471.α.1;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - ( Πρόγραμμα αντιμετωπισης  ζημιώ ν - καταστροφών κ.λ.π. ) λογ. 2153-95;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;0,00;0,00;4.515,13;0,00
02.01.071.9471.α.2;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - Γενικά ( Πρόγραμμα αντιμετωπισης  ζημιών - καταστροφών κ.λ.π. )   Τρ. Ελλάδος;77.656,04;0,00;77.656,04;0,00;77.656,04;0,00;77.656,04;0,00;77.656,04;0,00;77.656,04;0,00;0,00;0,00;77.656,04;0,00
02.01.071.9471.α.3;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ;204.543,42;30.000,00;234.543,42;115.394,46;119.148,96;115.394,46;119.148,96;115.394,46;119.148,96;115.394,46;119.148,96;0,00;0,00;-115.394,46;234.543,42;115.394,46
02.01.071.9471.α.4;Πρόγραμμα αντιμετώπισης ζημιών-καταστροφών κλπ-Αποζημιώσεις για την πυρκαγιά στους Ταγαράδες;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;0,00;0,00;75.695,44;0,00
02.01.071.9471.α.5;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ-Συμμετοχή Δήμων βάσει Προγ.Σύμβασης;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;0,00;0,00;4.156,90;0,00
02.01.071.9472;Επενδύσεις Υπ. Παιδείας - Πρόγραμμα Σχολικής Στέγης;205.943,29;0,00;205.943,29;2.659,75;203.283,54;2.659,75;203.283,54;2.659,75;203.283,54;2.659,75;203.283,54;0,00;0,00;-2.659,75;205.943,29;2.659,75
02.01.071.9472.α;Πρόγραμμα Σχολικής Στέγης;169.353,59;0,00;169.353,59;2.659,75;166.693,84;2.659,75;166.693,84;2.659,75;166.693,84;2.659,75;166.693,84;0,00;0,00;-2.659,75;169.353,59;2.659,75
02.01.071.9472.α.0;Πρόγραμμα Σχολικής Στέγης - Γενικά;169.353,59;-102.795,42;66.558,17;0,00;66.558,17;0,00;66.558,17;0,00;66.558,17;0,00;66.558,17;0,00;0,00;0,00;66.558,17;0,00
02.01.071.9472.α.1;Πρόγραμμα Σχολικής Στέγης;0,00;102.795,42;102.795,42;2.659,75;100.135,67;2.659,75;100.135,67;2.659,75;100.135,67;2.659,75;100.135,67;0,00;0,00;-2.659,75;102.795,42;2.659,75
02.01.071.9472.β;Πρόγραμμα Σχολική Στέγης - Οδοιπορικά;36.589,70;0,00;36.589,70;0,00;36.589,70;0,00;36.589,70;0,00;36.589,70;0,00;36.589,70;0,00;0,00;0,00;36.589,70;0,00
02.01.071.9473;Επενδύσεις Υπ. Γεωργίας;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;0,00;0,00;52.810,22;0,00
02.01.071.9473.0;Επενδύσεις Υπ. Γεωργίας-Γενικά;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;0,00;0,00;52.810,22;0,00
02.01.071.9473.0.1;Επενδύσεις Υπ. Γεωργίας-Ενέργειες προστασίας των οστρακοκαλλιεργιών του Θερμαϊκού κόλπου από έκτακτες περιπτώσεις θαλάσσιας ρύπανσης;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;52.810,22;0,00;0,00;0,00;52.810,22;0,00
02.01.071.9474;Επενδύσεις Υπ. Πολιτισμού;4.294.355,10;468.078,38;4.762.433,48;494.905,12;4.267.528,36;479.568,94;4.282.864,54;479.568,94;4.282.864,54;479.568,94;4.282.864,54;0,00;0,00;-479.568,94;4.762.433,48;494.905,12
02.01.071.9474.0;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. ( 231/ 12 8516137 12 );4.294.355,10;468.078,38;4.762.433,48;494.905,12;4.267.528,36;479.568,94;4.282.864,54;479.568,94;4.282.864,54;479.568,94;4.282.864,54;0,00;0,00;-479.568,94;4.762.433,48;494.905,12
02.01.071.9474.0.0;Επενδύσεις Υπουργείου Πολιτισμού - Γ.Γ.Α. Γενικά;648.686,03;94.183,01;742.869,04;0,00;742.869,04;0,00;742.869,04;0,00;742.869,04;0,00;742.869,04;0,00;0,00;0,00;742.869,04;0,00
02.01.071.9474.0.1;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. Ταμειακά Υπόλοιπα στον 002153-95;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;0,00;0,00;78.678,04;0,00
02.01.071.9474.0.32;"Επιχορηγήσεις Υπουργείου Πολιτισμού - 2ο Διεθνές Τουρνουά ποδοσφαίρου νέων ""Εγνατία""";1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;0,00;0,00;1.484,68;0,00
02.01.071.9474.0.33;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Ταμειακ. Υπόλ. (στον 231/ 12 8516137 12 );38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;0,00;0,00;38.374,19;0,00
02.01.071.9474.0.35;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Συντ.Κατασ. Αθλ.Εγκατ. Ν.Α Θεσ/νίκης ΣΑΕ 016;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;0,00;0,00;94.757,24;0,00
02.01.071.9474.0.39;ΓΓΑ-Κοινότητα Πεύκων:ανέγερση κλειστού γυμναστηρίου τύπου Τ11β & γηπέδου ποδοσφαίρου με χλοοτάπητα;0,00;30.477,48;30.477,48;30.477,48;0,00;30.477,48;0,00;30.477,48;0,00;30.477,48;0,00;0,00;0,00;-30.477,48;30.477,48;30.477,48
02.01.071.9474.0.42;ΓΓΑ-ΣΑΕ016 Πρόγραμμα Εργασιακού Αθλητισμού-Κατασκευή γηπέδων αθλοπαιδιών;0,00;26.287,98;26.287,98;26.287,98;0,00;26.287,98;0,00;26.287,98;0,00;26.287,98;0,00;0,00;0,00;-26.287,98;26.287,98;26.287,98
02.01.071.9474.0.46;Επενδύσεις ΓΓΑ: Δήμος Ευόσμου Θεσ/νίκης:Ανέγερση Κλειστού Κολυμβητηρίου;211.331,76;294.135,36;505.467,12;18.011,41;487.455,71;18.011,41;487.455,71;18.011,41;487.455,71;18.011,41;487.455,71;0,00;0,00;-18.011,41;505.467,12;18.011,41
02.01.071.9474.0.47;Συντηρήσεις και μικροκατασκευές αθλητικών εγκαταστάσεων-2009;3.221.043,16;0,00;3.221.043,16;397.133,70;2.823.909,46;381.797,52;2.839.245,64;381.797,52;2.839.245,64;381.797,52;2.839.245,64;0,00;0,00;-381.797,52;3.221.043,16;397.133,70
