Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02.00.725.9781;Συντήρηση συγκοινωνιακών έργων;1.063.000,00;-1.063.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.00.725.9800;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;1.205.785,32;-839.719,66;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725.9890;Λοιποί σκοποί;1.205.785,32;-839.719,66;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725.9899;Λοιπές δαπάνες;1.205.785,32;-839.719,66;366.065,66;161.211,34;204.854,32;0,00;366.065,66;161.211,34;204.854,32;161.211,34;204.854,32;0,00;0,00;0,00;366.065,66;161.211,34
02.00.725.9899.α;Δράσεις & ενέργειες για την ανάπτυξη του τουρισμού;223.813,60;-178.813,60;45.000,00;29.898,45;15.101,55;0,00;45.000,00;29.898,45;15.101,55;29.898,45;15.101,55;0,00;0,00;0,00;45.000,00;29.898,45
02.00.725.9899.β;Προετοιμασία, υλοποίηση & ολοκλήρωση ευρωπαϊκών προγραμμάτων;87.938,05;-13.938,05;74.000,00;73.726,20;273,80;0,00;74.000,00;73.726,20;273,80;73.726,20;273,80;0,00;0,00;0,00;74.000,00;73.726,20
02.00.725.9899.γ;Αποπληρωμή οφειλών έργων σχολικής στέγης;823.162,92;-782.579,14;40.583,78;39.006,91;1.576,87;0,00;40.583,78;39.006,91;1.576,87;39.006,91;1.576,87;0,00;0,00;0,00;40.583,78;39.006,91
02.00.725.9899.δ;Σύνταξη επιχειρησιακού προγράμματος;7.750,75;10.293,13;18.043,88;3.579,78;14.464,10;0,00;18.043,88;3.579,78;14.464,10;3.579,78;14.464,10;0,00;0,00;0,00;18.043,88;3.579,78
02.00.725.9899.ε;Διερεύνηση δυνατοτήτων παραγωγής ζωοκομικών προϊόντων ποιότητας στην Π.Κ.Μ με τη χρήση σπερμάτων κτηνοτροφικών ψυχανθών;20.000,00;-5.000,00;15.000,00;15.000,00;0,00;0,00;15.000,00;15.000,00;0,00;15.000,00;0,00;0,00;0,00;0,00;15.000,00;15.000,00
02.00.725.9899.η;Σχεδιασμός οργανωτικής δομής - βελτίωση οργανωσιακής απόδοτικότητας και διαχείριση ποιότητας του παρεχόμενου έργου Π.Κ.Μ;0,00;53.438,00;53.438,00;0,00;53.438,00;0,00;53.438,00;0,00;53.438,00;0,00;53.438,00;0,00;0,00;0,00;53.438,00;0,00
02.00.725.9899.θ;Ενέργειες ενημέρωσης και ευαισθητοποίησης κοινού για θέματα δημ. υγείας;0,00;100.000,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;100.000,00;0,00;0,00;0,00;100.000,00;0,00
02.00.725.9899.ι;Επιδημιολογική παρακολούθηση για τον ιό του Δυτικού Νείλου στην ΠΚΜ;0,00;20.000,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;20.000,00;0,00;0,00;0,00;20.000,00;0,00
02.00.725.9899.στ;Επαναπροσδιορισμός ζωνών αλιείας & καλλιέργειας οστρακοειδών θαλάσσιων περιοχών Θερμαϊκού;43.120,00;-43.120,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;73.937.445,04;5.723.318,52;79.660.763,56;28.059.728,01;51.601.035,55;27.648.285,38;52.012.478,18;25.766.131,63;53.894.631,93;25.655.332,94;54.005.430,62;110.798,69;0,00;-27.648.285,38;79.660.763,56;28.059.728,01
02.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);4.438.112,20;4.210.833,71;8.648.945,91;1.126.272,20;7.522.673,71;1.126.272,20;7.522.673,71;724.100,21;7.924.845,70;724.100,21;7.924.845,70;0,00;0,00;-1.126.272,20;8.648.945,91;1.126.272,20
02.01.071.9000;Πληρωμές για επενδύσεις;4.438.112,20;4.210.833,71;8.648.945,91;1.126.272,20;7.522.673,71;1.126.272,20;7.522.673,71;724.100,21;7.924.845,70;724.100,21;7.924.845,70;0,00;0,00;-1.126.272,20;8.648.945,91;1.126.272,20
02.01.071.9400;Πληρωμές για επενδύσεις;4.373.399,25;4.168.887,94;8.542.287,19;1.126.272,20;7.416.014,99;1.126.272,20;7.416.014,99;724.100,21;7.818.186,98;724.100,21;7.818.186,98;0,00;0,00;-1.126.272,20;8.542.287,19;1.126.272,20
02.01.071.9450; Επενδύσεις για Γεωργία - Δάση - Αλιεία;482.703,46;2.615.377,66;3.098.081,12;654.245,48;2.443.835,64;654.245,48;2.443.835,64;446.878,25;2.651.202,87;446.878,25;2.651.202,87;0,00;0,00;-654.245,48;3.098.081,12;654.245,48
02.01.071.9454;Τουρισμός - Μουσεία - Μνημεία - Εκπαίδευση;0,00;2.381.400,00;2.381.400,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;0,00;0,00;-100.860,00;2.381.400,00;100.860,00
02.01.071.9454.β;Επενδύσεις για Εκπαίδευση;0,00;2.381.400,00;2.381.400,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;0,00;0,00;-100.860,00;2.381.400,00;100.860,00
02.01.071.9454.β.3;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;2.381.400,00;2.381.400,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;100.860,00;2.280.540,00;0,00;0,00;-100.860,00;2.381.400,00;100.860,00
02.01.071.9454.β.3.31;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 8-14ο ΔΣ Πολίχνης (ΠΡΟΚΑΤ-12Θ);0,00;2.076.400,00;2.076.400,00;100.860,00;1.975.540,00;100.860,00;1.975.540,00;100.860,00;1.975.540,00;100.860,00;1.975.540,00;0,00;0,00;-100.860,00;2.076.400,00;100.860,00
02.01.071.9454.β.3.33;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8-Προσθήκη στο 3ο Γενικό Λύκειο Χορτιάτη;0,00;305.000,00;305.000,00;0,00;305.000,00;0,00;305.000,00;0,00;305.000,00;0,00;305.000,00;0,00;0,00;0,00;305.000,00;0,00
02.01.071.9457;Επενδύσεις για Ειδικά Προγράμματα;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;0,00;0,00;3.301,96;0,00
02.01.071.9457.β;Επενδύσεις για Ειδικά Προγράμματα;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;0,00;0,00;3.301,96;0,00
02.01.071.9457.β.0;Επενδύσεις για Ειδικά Προγράμματα;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;0,00;0,00;270,00;0,00
02.01.071.9457.β.1;"Επενδύσεις για Ειδικά Προγράμματα-""Τοπικές Στρατηγικές για την Απασχόληση & την Καινοτομία στην Π.Κ.Μ.""";3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;0,00;0,00;3.031,96;0,00
02.01.071.9459;Διάφορα;479.401,50;233.977,66;713.379,16;553.385,48;159.993,68;553.385,48;159.993,68;346.018,25;367.360,91;346.018,25;367.360,91;0,00;0,00;-553.385,48;713.379,16;553.385,48
02.01.071.9459.α;Επενδύσεις για διάφορα έργα;479.401,50;233.977,66;713.379,16;553.385,48;159.993,68;553.385,48;159.993,68;346.018,25;367.360,91;346.018,25;367.360,91;0,00;0,00;-553.385,48;713.379,16;553.385,48
02.01.071.9459.α.1;Επενδύσεις για διάφορα έργα - Τόκοι;314.943,60;12.509,70;327.453,30;319.407,84;8.045,46;319.407,84;8.045,46;112.040,61;215.412,69;112.040,61;215.412,69;0,00;0,00;-319.407,84;327.453,30;319.407,84
02.01.071.9459.α.3;Επενδύσεις για διάφορα έργα - ΣΑΝΑ 3;164.457,90;221.467,96;385.925,86;233.977,64;151.948,22;233.977,64;151.948,22;233.977,64;151.948,22;233.977,64;151.948,22;0,00;0,00;-233.977,64;385.925,86;233.977,64
02.01.071.9459.α.3.9;Επενδύσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;164.457,90;221.467,96;385.925,86;233.977,64;151.948,22;233.977,64;151.948,22;233.977,64;151.948,22;233.977,64;151.948,22;0,00;0,00;-233.977,64;385.925,86;233.977,64
02.01.071.9470;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;3.890.695,79;1.553.510,28;5.444.206,07;472.026,72;4.972.179,35;472.026,72;4.972.179,35;277.221,96;5.166.984,11;277.221,96;5.166.984,11;0,00;0,00;-472.026,72;5.444.206,07;472.026,72
02.01.071.9471;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;0,00;0,00;192.261,32;0,00
02.01.071.9471.α;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;192.261,32;0,00;0,00;0,00;192.261,32;0,00
02.01.071.9471.α.1;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - ( Πρόγραμμα αντιμετωπισης  ζημιώ ν - καταστροφών κ.λ.π. ) λογ. 2153-95;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;0,00;0,00;4.515,13;0,00
02.01.071.9471.α.2;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - Γενικά ( Πρόγραμμα αντιμετωπισης  ζημιών - καταστροφών κ.λ.π. )   Τρ. Ελλάδος;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;0,00;0,00;76.322,68;0,00
02.01.071.9471.α.3;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ;31.571,17;0,00;31.571,17;0,00;31.571,17;0,00;31.571,17;0,00;31.571,17;0,00;31.571,17;0,00;0,00;0,00;31.571,17;0,00
02.01.071.9471.α.4;Πρόγραμμα αντιμετώπισης ζημιών-καταστροφών κλπ-Αποζημιώσεις για την πυρκαγιά στους Ταγαράδες;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;0,00;0,00;75.695,44;0,00
02.01.071.9471.α.5;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ-Συμμετοχή Δήμων βάσει Προγ.Σύμβασης;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;0,00;0,00;4.156,90;0,00
02.01.071.9472;Επενδύσεις Υπ. Παιδείας - Πρόγραμμα Σχολικής Στέγης;210.772,92;1.540.094,28;1.750.867,20;464.350,43;1.286.516,77;464.350,43;1.286.516,77;274.756,52;1.476.110,68;274.756,52;1.476.110,68;0,00;0,00;-464.350,43;1.750.867,20;464.350,43
02.01.071.9472.α;Πρόγραμμα Σχολικής Στέγης;174.183,22;1.576.683,98;1.750.867,20;464.350,43;1.286.516,77;464.350,43;1.286.516,77;274.756,52;1.476.110,68;274.756,52;1.476.110,68;0,00;0,00;-464.350,43;1.750.867,20;464.350,43
02.01.071.9472.α.0;Πρόγραμμα Σχολικής Στέγης - Γενικά;174.183,22;43.902,51;218.085,73;190.605,18;27.480,55;190.605,18;27.480,55;1.011,27;217.074,46;1.011,27;217.074,46;0,00;0,00;-190.605,18;218.085,73;190.605,18
02.01.071.9472.α.1;Πρόγραμμα Σχολικής Στέγης;0,00;475.466,81;475.466,81;273.745,25;201.721,56;273.745,25;201.721,56;273.745,25;201.721,56;273.745,25;201.721,56;0,00;0,00;-273.745,25;475.466,81;273.745,25
02.01.071.9472.α.2;Πρόγραμμα Σχολική Στέγης - Οικόπεδα;0,00;1.057.314,66;1.057.314,66;0,00;1.057.314,66;0,00;1.057.314,66;0,00;1.057.314,66;0,00;1.057.314,66;0,00;0,00;0,00;1.057.314,66;0,00
02.01.071.9472.β;Πρόγραμμα Σχολική Στέγης - Οδοιπορικά;36.589,70;-36.589,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9474;Επενδύσεις Υπ. Πολιτισμού;3.451.815,28;0,00;3.451.815,28;7.676,29;3.444.138,99;7.676,29;3.444.138,99;2.465,44;3.449.349,84;2.465,44;3.449.349,84;0,00;0,00;-7.676,29;3.451.815,28;7.676,29
02.01.071.9474.0;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. ( 231/ 12 8516137 12 );3.451.815,28;0,00;3.451.815,28;7.676,29;3.444.138,99;7.676,29;3.444.138,99;2.465,44;3.449.349,84;2.465,44;3.449.349,84;0,00;0,00;-7.676,29;3.451.815,28;7.676,29
02.01.071.9474.0.0;Επενδύσεις Υπουργείου Πολιτισμού - Γ.Γ.Α. Γενικά;648.686,03;-36.080,00;612.606,03;0,00;612.606,03;0,00;612.606,03;0,00;612.606,03;0,00;612.606,03;0,00;0,00;0,00;612.606,03;0,00
02.01.071.9474.0.1;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. Ταμειακά Υπόλοιπα στον 002153-95;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;0,00;0,00;78.678,04;0,00
02.01.071.9474.0.32;"Επιχορηγήσεις Υπουργείου Πολιτισμού - 2ο Διεθνές Τουρνουά ποδοσφαίρου νέων ""Εγνατία""";1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;0,00;0,00;1.484,68;0,00
02.01.071.9474.0.33;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Ταμειακ. Υπόλ. (στον 231/ 12 8516137 12 );38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;0,00;0,00;38.374,19;0,00
02.01.071.9474.0.35;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Συντ.Κατασ. Αθλ.Εγκατ. Ν.Α Θεσ/νίκης ΣΑΕ 016;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;0,00;0,00;94.757,24;0,00
02.01.071.9474.0.47;Συντηρήσεις και μικροκατασκευές αθλητικών εγκαταστάσεων-2009;2.589.835,10;0,00;2.589.835,10;7.676,29;2.582.158,81;7.676,29;2.582.158,81;2.465,44;2.587.369,66;2.465,44;2.587.369,66;0,00;0,00;-7.676,29;2.589.835,10;7.676,29
02.01.071.9474.0.50;Κατασκευή στίβου & λοιπές εργασίες στα ΤΕΦΑΑ Πανεπιστημίου στη Θέρμη-αποδυτήρια στα γήπεδα Π1-Π2-Π3-Π6,συνθετικός χλοοτάπητας & ηλεκτροφωτισμός στα γήπεδα Π1-Π2;0,00;36.080,00;36.080,00;0,00;36.080,00;0,00;36.080,00;0,00;36.080,00;0,00;36.080,00;0,00;0,00;0,00;36.080,00;0,00
02.01.071.9479;Επενδύσεις λοιπών Υπουργείων;35.846,27;13.416,00;49.262,27;0,00;49.262,27;0,00;49.262,27;0,00;49.262,27;0,00;49.262,27;0,00;0,00;0,00;49.262,27;0,00
02.01.071.9479.β;Επενδύσεις Υ.ΠΕ.ΧΩ.Δ.Ε.;0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,01;0,00
02.01.071.9479.β.2;Επενδύσεις Υ.ΠΕ.ΧΩ.Δ.Ε. - Δημαρχειακό Μέγαρο Θεσ/νίκης ( 50 010 7300000 021 );0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,01;0,00;0,00;0,00;0,01;0,00
02.01.071.9479.γ;Επενδύσεις Υπουργείου Εθνικής Άμυνας;35.846,26;0,00;35.846,26;0,00;35.846,26;0,00;35.846,26;0,00;35.846,26;0,00;35.846,26;0,00;0,00;0,00;35.846,26;0,00
02.01.071.9479.στ;Επενδύσεις - Υπουργείου Εργασίας;0,00;13.416,00;13.416,00;0,00;13.416,00;0,00;13.416,00;0,00;13.416,00;0,00;13.416,00;0,00;0,00;0,00;13.416,00;0,00
02.01.071.9900;Επενδύσεις Ε.Ε. για λοιπόύς σκοπούς;64.712,95;41.945,77;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;0,00;0,00;106.658,72;0,00
02.01.071.9910;Επενδύσεις από έσοδα Ευρωπαικής Ένωσης;64.712,95;41.945,77;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;0,00;0,00;106.658,72;0,00
02.01.071.9919;Λοιποί σκοποί;64.712,95;41.945,77;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;106.658,72;0,00;0,00;0,00;106.658,72;0,00
02.01.071.9919.0;Λοιποί σκοποί;11.899,60;30.315,77;42.215,37;0,00;42.215,37;0,00;42.215,37;0,00;42.215,37;0,00;42.215,37;0,00;0,00;0,00;42.215,37;0,00
02.01.071.9919.1;Επενδύσεις Ε.Ε. για λοιπούς σκοπούς - Δίκτυο κοινωνικής αλληλεγγύης Κ.Ε.Κ.;32.813,55;0,00;32.813,55;0,00;32.813,55;0,00;32.813,55;0,00;32.813,55;0,00;32.813,55;0,00;0,00;0,00;32.813,55;0,00
02.01.071.9919.2;"Επενδύσεις  Ε.Ε. για λοιπούς Σκοπούς  ΣΑΕΠ - "" Technoman Perspectives"" (λογ. 002153)";2.194,30;0,00;2.194,30;0,00;2.194,30;0,00;2.194,30;0,00;2.194,30;0,00;2.194,30;0,00;0,00;0,00;2.194,30;0,00
02.01.071.9919.6;Επενδύσεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 RECULTIVATUR;0,00;11.630,00;11.630,00;0,00;11.630,00;0,00;11.630,00;0,00;11.630,00;0,00;11.630,00;0,00;0,00;0,00;11.630,00;0,00
02.01.071.9919.7;Επενδύσεις Ε.Ε. για λοιπούς σκοπούς-ΣΑΕΠ 302/2 Καλυψη εθν συμ/χης WIDE;17.805,50;0,00;17.805,50;0,00;17.805,50;0,00;17.805,50;0,00;17.805,50;0,00;17.805,50;0,00;0,00;0,00;17.805,50;0,00
02.01.151;ΥΓΕΙΑΣ & ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ;10.150.129,40;1.578.571,02;11.728.700,42;9.969.941,35;1.758.759,07;9.969.941,35;1.758.759,07;9.969.941,35;1.758.759,07;9.969.941,35;1.758.759,07;0,00;0,00;-9.969.941,35;11.728.700,42;9.969.941,35
02.01.151.0000;Φαρμακευτική περίθαλψη;0,00;7.000,00;7.000,00;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;0,00;0,00;-2.857,31;7.000,00;2.857,31
02.01.151.0800;Μισθώματα κτιρίων;0,00;7.000,00;7.000,00;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;0,00;0,00;-2.857,31;7.000,00;2.857,31
02.01.151.0870;Αμοιβές όσων εκτελούν ειδικές υπηρεσίες;0,00;7.000,00;7.000,00;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;0,00;0,00;-2.857,31;7.000,00;2.857,31
02.01.151.0874;Αμοιβές και προμήθειες τραπεζών & πιστωτικών ιδρυμάτων;0,00;7.000,00;7.000,00;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;2.857,31;4.142,69;0,00;0,00;-2.857,31;7.000,00;2.857,31
02.01.151.2000;Πληρωμές μεταιβαστικές;10.150.129,40;1.571.571,02;11.721.700,42;9.967.084,04;1.754.616,38;9.967.084,04;1.754.616,38;9.967.084,04;1.754.616,38;9.967.084,04;1.754.616,38;0,00;0,00;-9.967.084,04;11.721.700,42;9.967.084,04
02.01.151.2500;Επιχορηγήσεις σε Νομικά πρόσωπα Ιδιωτικού Δικαίου;1.650.129,40;0,00;1.650.129,40;1.207.770,00;442.359,40;1.207.770,00;442.359,40;1.207.770,00;442.359,40;1.207.770,00;442.359,40;0,00;0,00;-1.207.770,00;1.650.129,40;1.207.770,00
02.01.151.2550;Σε ιδρύματα υγείας, κοινωνικής πρόνοιας και για σκοπούς κοινωνικής αντίληψης;407.129,40;0,00;407.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;0,00;0,00;-286.000,00;407.129,40;286.000,00
02.01.151.2551;Επιχορήγηση σε ιδρύματα και εταιρείες προστασίας ανηλίκων και ενηλίκων;407.129,40;0,00;407.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;0,00;0,00;-286.000,00;407.129,40;286.000,00
02.01.151.2551.00;ΙΔΡΥΜΑΤΑ;407.129,40;0,00;407.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;286.000,00;121.129,40;0,00;0,00;-286.000,00;407.129,40;286.000,00
02.01.151.2560;Σε σχολές και οργανισμούς κοινωνικής πρόνοιας;1.243.000,00;0,00;1.243.000,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;0,00;0,00;-921.770,00;1.243.000,00;921.770,00
02.01.151.2569;Επιχορήγηση σε λοιπούς οργανισμούς και σχολές κοινωνικής πρόνοιας;1.243.000,00;0,00;1.243.000,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;0,00;0,00;-921.770,00;1.243.000,00;921.770,00
02.01.151.2569.00;Ιδρύματα;1.243.000,00;0,00;1.243.000,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;921.770,00;321.230,00;0,00;0,00;-921.770,00;1.243.000,00;921.770,00
02.01.151.2700;Εισοδηματικές ενισχύσεις και λοιπές μεταβιβάσεις;8.500.000,00;1.571.571,02;10.071.571,02;8.759.314,04;1.312.256,98;8.759.314,04;1.312.256,98;8.759.314,04;1.312.256,98;8.759.314,04;1.312.256,98;0,00;0,00;-8.759.314,04;10.071.571,02;8.759.314,04
