Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Παραστατικά Εσόδων;Υπόλοιπο Παρ. Εσόδων ως προς Δ.Π.;Βεβαιωθέντα;Διαγραφές Παραγραφές;Τελικά Βεβαιωθέντα;Υπόλοιπο Βεβαιωθέντων    ως προς Δ.Π.;Εισπραχθέντα;Υπόλοιπο Εισπραχθέντων    ως προς Δ.Π.;Υπόλοιπο (Βεβαιωθέντα - Εισπραχθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.
06.00.071.9452.α.1;Επιχορηγήσεις ΣΑΜΠ 008 εγγειοβελτιωτικά;45.000,00;0,00;45.000,00;0,00;45.000,00;0,00;0,00;0,00;45.000,00;0,00;45.000,00;0,00;0,00;0,00;45.000,00
06.00.071.9452.α.3;Επιχορηγήσεις ΣΑΕΠ 008/8;5.264.834,08;0,00;5.264.834,08;0,00;5.264.834,08;0,00;0,00;0,00;5.264.834,08;0,00;5.264.834,08;0,00;0,00;0,00;5.264.834,08
06.00.071.9452.α.3.1;Επιχορηγήσεις ΣΑΕΠ 008/8 αντιπλημμυρικά;200.003,40;0,00;200.003,40;0,00;200.003,40;0,00;0,00;0,00;200.003,40;0,00;200.003,40;0,00;0,00;0,00;200.003,40
06.00.071.9452.α.3.2;Επιχορηγήσεις ΣΑΕΠ 008/8 βιομηχανία;4.351.860,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;0,00;0,00;4.351.860,00;0,00;4.351.860,00;0,00;0,00;0,00;4.351.860,00
06.00.071.9452.α.3.3;Επιχορηγήσεις ΣΑΕΠ 008/8 εγγειοβελτιωτικά;712.970,68;0,00;712.970,68;0,00;712.970,68;0,00;0,00;0,00;712.970,68;0,00;712.970,68;0,00;0,00;0,00;712.970,68
06.00.071.9452.α.4;Επιχορηγήσεις ΣΑΕΠ 008;2.686.845,80;0,00;2.686.845,80;0,00;2.686.845,80;0,00;0,00;0,00;2.686.845,80;0,00;2.686.845,80;0,00;0,00;0,00;2.686.845,80
06.00.071.9452.α.4.α;Επιχορηγήσεις ΣΑΕΠ 008 αντιπλημμυρικά;2.639.026,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;0,00;0,00;2.639.026,00;0,00;2.639.026,00;0,00;0,00;0,00;2.639.026,00
06.00.071.9452.α.4.β;Επιχορηγήσεις ΣΑΕΠ 008 εγγειοβελτιωτικά;47.819,80;0,00;47.819,80;0,00;47.819,80;0,00;0,00;0,00;47.819,80;0,00;47.819,80;0,00;0,00;0,00;47.819,80
06.00.071.9453;Επιχορηγήσεις για Συγκοινωνίες - Σιδηροδρόμους;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20
06.00.071.9453.α;Επιχορηγήσεις ΣΑΕΠ, ΣΑΜΠ;33.109.447,20;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20;0,00;33.109.447,20;0,00;0,00;0,00;33.109.447,20
06.00.071.9453.α.1;Επιχορηγήσεις ΣΑΕΠ 008;2.451.441,09;0,00;2.451.441,09;0,00;2.451.441,09;0,00;0,00;0,00;2.451.441,09;0,00;2.451.441,09;0,00;0,00;0,00;2.451.441,09
06.00.071.9453.α.2;Επιχορηγήσεις ΣΑΜΠ 008;254.243,25;0,00;254.243,25;0,00;254.243,25;0,00;0,00;0,00;254.243,25;0,00;254.243,25;0,00;0,00;0,00;254.243,25
06.00.071.9453.α.4;Επιχορηγήσεις ΣΑΕΠ 008/;30.403.762,86;0,00;30.403.762,86;0,00;30.403.762,86;0,00;0,00;0,00;30.403.762,86;0,00;30.403.762,86;0,00;0,00;0,00;30.403.762,86
06.00.071.9453.α.4.α;Επιχορηγήσεις ΣΑΕΠ 008/3 διάφορα;3.585.238,94;0,00;3.585.238,94;0,00;3.585.238,94;0,00;0,00;0,00;3.585.238,94;0,00;3.585.238,94;0,00;0,00;0,00;3.585.238,94
06.00.071.9453.α.4.β;Επιχορηγήσεις ΣΑΕΠ 008/3;530.000,00;0,00;530.000,00;0,00;530.000,00;0,00;0,00;0,00;530.000,00;0,00;530.000,00;0,00;0,00;0,00;530.000,00
06.00.071.9453.α.4.γ;Επιχορηγήσεις ΣΑΕΠ 008/2;4.000.000,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;0,00;0,00;4.000.000,00;0,00;4.000.000,00;0,00;0,00;0,00;4.000.000,00
06.00.071.9453.α.4.δ;Επιχορηγήσεις ΣΑΕΠ 008/8;22.288.523,92;0,00;22.288.523,92;0,00;22.288.523,92;0,00;0,00;0,00;22.288.523,92;0,00;22.288.523,92;0,00;0,00;0,00;22.288.523,92
06.00.071.9454;Επιχορηγήσεις για Τουρισμό - Μουσεία - Μνημεία - Εκπαίδευση;10.003.040,88;0,00;10.003.040,88;0,00;10.003.040,88;0,00;0,00;0,00;10.003.040,88;0,00;10.003.040,88;0,00;0,00;0,00;10.003.040,88
06.00.071.9454.α;Επιχορηγήσεις ΣΑΕΠ τουρισμός;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00
06.00.071.9454.α.3;Επιχορηγήσεις  ΣΑΕΠ;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00
06.00.071.9454.α.3.1;Επιχορηγήσεις  ΣΑΕΠ 008/8;250.000,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00;0,00;250.000,00;0,00;0,00;0,00;250.000,00
06.00.071.9454.β;Επιχορηγήσεις ΣΑΕΠ, ΣΑΝΑ εκαπίδευση;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88
06.00.071.9454.β.3;Επιχορηγήσεις ΣΑΕΠ, ΣΑΝΑ;9.753.040,88;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88;0,00;9.753.040,88;0,00;0,00;0,00;9.753.040,88
06.00.071.9454.β.3.1;Επιχορηγήσεις ΣΑΕΠ 008/8;3.853.040,88;0,00;3.853.040,88;0,00;3.853.040,88;0,00;0,00;0,00;3.853.040,88;0,00;3.853.040,88;0,00;0,00;0,00;3.853.040,88
06.00.071.9454.β.3.2;Επιχορηγήσεις ΣΑΝΑ 015/8;3.400.000,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;0,00;0,00;3.400.000,00;0,00;3.400.000,00;0,00;0,00;0,00;3.400.000,00
06.00.071.9454.β.3.3;Επιχορηγήσεις ΣΑΝΑ 037/8;1.500.000,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;0,00;0,00;1.500.000,00;0,00;1.500.000,00;0,00;0,00;0,00;1.500.000,00
06.00.071.9454.β.3.4;Επιχορηγήσεις ΣΑΝΑ 038/8;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00
06.00.071.9455;Επιχορηγήσεις για Οικισμό - Υγεία - Πρόνοια;5.317.602,38;0,00;5.317.602,38;0,00;5.317.602,38;0,00;0,00;0,00;5.317.602,38;0,00;5.317.602,38;0,00;0,00;0,00;5.317.602,38
06.00.071.9455.α;Επιχορηγήσεις ΣΑΕΠ 008/;2.647.924,78;0,00;2.647.924,78;0,00;2.647.924,78;0,00;0,00;0,00;2.647.924,78;0,00;2.647.924,78;0,00;0,00;0,00;2.647.924,78
06.00.071.9455.α.1;Επιχορηγήσεις ΣΑΕΠ 008/3;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;0,00;0,00;91.125,48;0,00;91.125,48;0,00;0,00;0,00;91.125,48
06.00.071.9455.α.2;Επιχορηγήσεις ΣΑΕΠ 008/8;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;0,00;0,00;2.556.799,30;0,00;2.556.799,30;0,00;0,00;0,00;2.556.799,30
06.00.071.9455.β;Επιχορηγήσεις ΣΑΕΠ;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60
06.00.071.9455.β.1;Επιχορηγήσεις ΣΑΕΠ 008;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60
06.00.071.9456;Επιχορηγήσεις για Ύδρευση & Αποχέτευση;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71
06.00.071.9456.0;Επιχορηγήσεις ΣΑΕΠ 008/;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71
06.00.071.9456.0.1;Επιχορηγήσεις ΣΑΕΠ 008/3;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;0,00;0,00;300.000,00;0,00;300.000,00;0,00;0,00;0,00;300.000,00
06.00.071.9456.0.2;Επιχορηγήσεις ΣΑΕΠ 008/8;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;0,00;0,00;2.928.599,71;0,00;2.928.599,71;0,00;0,00;0,00;2.928.599,71
06.00.071.9457;Επιχορηγήσεις για Δημόσια Διοίκηση- Έρευνα - Τεχνολογία - Τεχνική Συνεργασία;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00
06.00.071.9457.β;Επιχορηγήσεις ΣΑΕΠ 008/;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00
06.00.071.9457.β.1;Επενδύσεις ΣΑΕΠ 008/8;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00
06.00.071.9459;Επιχορηγήσεις για διάφορα έργα;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08
06.00.071.9459.α;Επιχορηγήσεις ΣΑΕΠ, ΣΑΜΠ;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08
06.00.071.9459.α.3;Επιχορηγήσεις ΣΑΕΠ;9.300.701,55;0,00;9.300.701,55;0,00;9.300.701,55;0,00;0,00;0,00;9.300.701,55;0,00;9.300.701,55;0,00;0,00;0,00;9.300.701,55
06.00.071.9459.α.3.1;Επιχορηγήσεις ΣΑΕΠ 008;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;0,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;0,00;0,00;6.713.380,00
06.00.071.9459.α.3.2;Επιχορηγήσεις ΣΑΕΠ 008/8;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;0,00;0,00;767.609,06;0,00;767.609,06;0,00;0,00;0,00;767.609,06
06.00.071.9459.α.3.3;Επιχορηγήσεις  ΣΑΕΠ 008/8 περιβάλλον;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;0,00;0,00;658.264,96;0,00;658.264,96;0,00;0,00;0,00;658.264,96
06.00.071.9459.α.3.4;Επιχορηγήσεις  ΣΑΕΠ 008/8 πολιτισμός;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;0,00;0,00;1.161.447,53;0,00;1.161.447,53;0,00;0,00;0,00;1.161.447,53
06.00.071.9459.α.4;Επιχορηγήσεις ΣΑΜΠ;1.871.693,53;0,00;1.871.693,53;0,00;1.871.693,53;0,00;0,00;0,00;1.871.693,53;0,00;1.871.693,53;0,00;0,00;0,00;1.871.693,53
06.00.071.9459.α.4.α;Επιχορηγήσεις ΣΑΜΠ 008;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00
06.00.071.9459.α.4.β;Επιχορηγήσεις σαμπ 008/3;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;0,00;0,00;1.861.693,53;0,00;1.861.693,53;0,00;0,00;0,00;1.861.693,53
06.00.071.9900;Επιχορηγήσεις ΕΕ για λοιπούς σκοπούς;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67
06.00.071.9910;Έσοδα απο επιχορηγήσεις της Ευρωπαϊκής Ένωσης;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67
06.00.071.9919;Επιχορηγήσεις για λοιπούς σκοπούς;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67
06.00.071.9919.1;Επιχορηγήσεις ΣΑΕΠ 308/2;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;0,00;0,00;114.800,36;0,00;114.800,36;0,00;0,00;0,00;114.800,36
06.00.071.9919.2;Επιχορηγήσεις  ΣΑΕΠ 308/8;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;0,00;0,00;1.595.875,31;0,00;1.595.875,31;0,00;0,00;0,00;1.595.875,31
06.00.151;ΥΓΕΙΑΣ & ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ;0,00;0,00;0,00;-1.184.922,00;1.184.922,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.184.922,00;0,00
06.00.151.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;-1.184.922,00;1.184.922,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.184.922,00;0,00
06.00.151.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;-1.184.922,00;1.184.922,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.184.922,00;0,00
06.00.151.1250;Έσοδα Περιφερειών από ΚΑΠ;0,00;0,00;0,00;-1.184.922,00;1.184.922,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.184.922,00;0,00
06.00.151.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;-1.184.922,00;1.184.922,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.184.922,00;0,00
06.00.291;ΥΠΗΡΕΣΙΕΣ ΓΕΩΡΓΙΑΣ;0,00;0,00;0,00;-18.980,00;18.980,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.980,00;0,00
06.00.291.0000;Επιχορηγήσεις;0,00;0,00;0,00;-18.980,00;18.980,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.980,00;0,00
06.00.291.0200;Επιχορηγήσεις και εισφορές από Ν.Π.Δ.Δ., Ν.Π.Ι.Δ., Οργανισμούς, Ιδρύματα & Ειδικούς Λογαριασμούς Εσωτερικού;0,00;0,00;0,00;-18.980,00;18.980,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.980,00;0,00
06.00.291.0210;Επιχορηγήσεις και εισφορές από Ν.Π.Δ.Δ , Οργανισμούς ή Ειδικούς Λογαριασμούς Εσωτερικούς;0,00;0,00;0,00;-18.980,00;18.980,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.980,00;0,00
06.00.291.0211;Επιχορηγήσεις από Ν.Π.Δ.Δ , Οργανισμούς ή Ειδικούς Λογαριασμούς;0,00;0,00;0,00;-18.980,00;18.980,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.980,00;0,00
06.00.721;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ;0,00;0,00;0,00;1.833.432,27;-1.833.432,27;1.808.154,29;0,00;1.808.154,29;-1.808.154,29;1.808.154,29;-1.808.154,29;0,00;0,00;-1.833.432,27;0,00
06.00.721.1000;Φόροι-Τέλη και Δικαιώματα υπέρ Ν.Π.Δ.Δ.;0,00;0,00;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;-1.856.026,83;0,00;0,00;-1.856.026,83;0,00
06.00.721.1200;Έσοδα από τέλη και δικαιώματα;0,00;0,00;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;-1.856.026,83;0,00;0,00;-1.856.026,83;0,00
06.00.721.1250;Έσοδα Περιφερειών από Κ.Α.Π.;0,00;0,00;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;-1.856.026,83;0,00;0,00;-1.856.026,83;0,00
06.00.721.1252;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;-1.856.026,83;0,00;0,00;-1.856.026,83;0,00
06.00.721.1252.α;Έσοδα από Κ.Α.Π. για λειτουργικές και λοιπές γενικές δαπάνες;0,00;0,00;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;0,00;1.856.026,83;-1.856.026,83;1.856.026,83;-1.856.026,83;0,00;0,00;-1.856.026,83;0,00
06.00.721.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;28.405,45;-28.405,45;3.127,47;0,00;3.127,47;-3.127,47;3.127,47;-3.127,47;0,00;0,00;-28.405,45;0,00
06.00.721.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια, Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;28.405,45;-28.405,45;3.127,47;0,00;3.127,47;-3.127,47;3.127,47;-3.127,47;0,00;0,00;-28.405,45;0,00
06.00.721.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;28.405,45;-28.405,45;3.127,47;0,00;3.127,47;-3.127,47;3.127,47;-3.127,47;0,00;0,00;-28.405,45;0,00
06.00.721.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;28.405,45;-28.405,45;3.127,47;0,00;3.127,47;-3.127,47;3.127,47;-3.127,47;0,00;0,00;-28.405,45;0,00
06.00.721.3511.α;Τόκοι από καταθέσεις σε Τράπεζες (2512-0).;0,00;0,00;0,00;548,04;-548,04;548,04;0,00;548,04;-548,04;548,04;-548,04;0,00;0,00;-548,04;0,00
06.00.721.3511.γ;Τόκοι από καταθέσεις σε Τράπεζες (002458-1).;0,00;0,00;0,00;27.077,04;-27.077,04;2.334,81;0,00;2.334,81;-2.334,81;2.334,81;-2.334,81;0,00;0,00;-27.077,04;0,00
06.00.721.3511.δ;Τόκοι από καταθέσεις σε Τράπεζες (002517-1).;0,00;0,00;0,00;780,37;-780,37;244,62;0,00;244,62;-244,62;244,62;-244,62;0,00;0,00;-780,37;0,00
06.00.721.6000;Έκτακτα έσοδα;0,00;0,00;0,00;-51.000,01;51.000,01;-51.000,01;0,00;-51.000,01;51.000,01;-51.000,01;51.000,01;0,00;0,00;51.000,01;0,00
06.00.721.6100;Επιχορηγήσεις;0,00;0,00;0,00;-51.000,01;51.000,01;-51.000,01;0,00;-51.000,01;51.000,01;-51.000,01;51.000,01;0,00;0,00;51.000,01;0,00
06.00.721.6110;Επιχορηγήσεις από τον τακτικό κρατικό προϋπολογισμό;0,00;0,00;0,00;-51.000,01;51.000,01;-51.000,01;0,00;-51.000,01;51.000,01;-51.000,01;51.000,01;0,00;0,00;51.000,01;0,00
06.00.721.6118;Έκτακτη επιχορήγηση για την εξόφληση των ληξιπρόθεσμων υποχρεώσεων της υποπαραγράφου Γ2 του άρθρου Πρώτου του ν.4093/2012;0,00;0,00;0,00;-51.000,01;51.000,01;-51.000,01;0,00;-51.000,01;51.000,01;-51.000,01;51.000,01;0,00;0,00;51.000,01;0,00
06.00.722;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ (τ.Ν.Τ.);0,00;0,00;0,00;0,00;0,00;-0,36;0,00;-0,36;0,36;-0,36;0,36;0,00;0,00;0,00;0,00
06.00.722.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;0,00;0,00;0,00;0,00;-0,36;0,00;-0,36;0,36;-0,36;0,36;0,00;0,00;0,00;0,00
06.00.722.3500;Πρόσοδοι του Ν.Π.Δ.Δ από Κεφάλαια ,Κινητές αξίες και λοιπές περιπτώσεις;0,00;0,00;0,00;0,00;0,00;-0,36;0,00;-0,36;0,36;-0,36;0,36;0,00;0,00;0,00;0,00
06.00.722.3510;Τόκοι κεφαλαίων;0,00;0,00;0,00;0,00;0,00;-0,36;0,00;-0,36;0,36;-0,36;0,36;0,00;0,00;0,00;0,00
06.00.722.3511;Τόκοι από καταθέσεις σε Τράπεζες.;0,00;0,00;0,00;0,00;0,00;-0,36;0,00;-0,36;0,36;-0,36;0,36;0,00;0,00;0,00;0,00
06.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ  ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;100.000,00;111.100,70;211.100,70;2.380,20;208.720,50;5.574,27;0,00;5.574,27;205.526,43;5.574,27;205.526,43;0,00;0,00;-2.380,20;211.100,70
06.00.725.3000;Έσοδα από την επιχειρηματική δραστηριότητα του Ν.Π.Δ.Δ;0,00;3.194,07;3.194,07;2.380,20;813,87;5.574,27;0,00;5.574,27;-2.380,20;5.574,27;-2.380,20;0,00;0,00;-2.380,20;3.194,07
