Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02.00.071.9455;Επενδύσεις για Οικισμό - Υγεία - Πρόνοια;5.317.602,38;0,00;5.317.602,38;0,00;5.317.602,38;0,00;5.317.602,38;0,00;5.317.602,38;0,00;5.317.602,38;0,00;0,00;0,00;5.317.602,38;0,00
02.00.071.9455.α;Επενδύσεις ΣΑΕΠ 008/;2.647.924,78;0,00;2.647.924,78;0,00;2.647.924,78;0,00;2.647.924,78;0,00;2.647.924,78;0,00;2.647.924,78;0,00;0,00;0,00;2.647.924,78;0,00
02.00.071.9455.α.1;Επενδύσεις ΣΑΕΠ 008/3;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;0,00;0,00;91.125,48;0,00
02.00.071.9455.α.1.01;Επενδύσεις ΣΑΕΠ 008/3;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;91.125,48;0,00;0,00;0,00;91.125,48;0,00
02.00.071.9455.α.2;Επενδύσεις ΣΑΕΠ 008/8;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;0,00;0,00;2.556.799,30;0,00
02.00.071.9455.α.2.01;Επενδύσεις ΣΑΕΠ 008/8;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;2.556.799,30;0,00;0,00;0,00;2.556.799,30;0,00
02.00.071.9455.β;Επενδύσεις ΣΑΕΠ;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60;0,00
02.00.071.9455.β.1;Επενδύσεις ΣΑΕΠ 008;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60;0,00
02.00.071.9455.β.1.01;Επενδύσεις ΣΑΕΠ 008;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;2.669.677,60;0,00;0,00;0,00;2.669.677,60;0,00
02.00.071.9456;Επενδύσεις για ύδρευση & αποχέτευση;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71;0,00
02.00.071.9456.0;Επενδύσεις ΣΑΕΠ 008/;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;3.228.599,71;0,00;0,00;0,00;3.228.599,71;0,00
02.00.071.9456.0.1;Επενδύσεις ΣΑΕΠ 008/3;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;0,00;0,00;300.000,00;0,00
02.00.071.9456.0.1.01;Επενδύσεις ΣΑΕΠ 008/3;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;300.000,00;0,00;0,00;0,00;300.000,00;0,00
02.00.071.9456.0.2;Επενδύσεις ΣΑΕΠ 008/8;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;0,00;0,00;2.928.599,71;0,00
02.00.071.9456.0.2.01;Επενδύσεις ΣΑΕΠ 008/8;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;2.928.599,71;0,00;0,00;0,00;2.928.599,71;0,00
02.00.071.9457;Δημόσια Διοίκηση- Έρευνα - Τεχνολογία - Τεχνική Συνεργασία;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00
02.00.071.9457.β;Επενδύσεις ΣΑΕΠ 008/;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00
02.00.071.9457.β.1;Επενδύσεις ΣΑΕΠ 008/8;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00
02.00.071.9457.β.1.01;Επενδύσεις ΣΑΕΠ 008/8;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;93.000,00;0,00;0,00;0,00;93.000,00;0,00
02.00.071.9459;Διάφορα έργα;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08;0,00
02.00.071.9459.α;Επενδύσεις ΣΑΕΠ, ΣΑΜΠ;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;11.172.395,08;0,00;0,00;0,00;11.172.395,08;0,00
02.00.071.9459.α.3;Επενδύσεις ΣΑΕΠ;9.300.701,55;0,00;9.300.701,55;0,00;9.300.701,55;0,00;9.300.701,55;0,00;9.300.701,55;0,00;9.300.701,55;0,00;0,00;0,00;9.300.701,55;0,00
02.00.071.9459.α.3.1;Επενδύσεις ΣΑΕΠ 008;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;0,00;0,00;6.713.380,00;0,00
02.00.071.9459.α.3.1.01;Επενδύσεις ΣΑΕΠ 008;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;6.713.380,00;0,00;0,00;0,00;6.713.380,00;0,00
02.00.071.9459.α.3.2;Επενδύσεις ΣΑΕΠ 008/8;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;0,00;0,00;767.609,06;0,00
02.00.071.9459.α.3.2.01;Επενδύσεις ΣΑΕΠ 008/8;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;767.609,06;0,00;0,00;0,00;767.609,06;0,00
02.00.071.9459.α.3.3;Επενδύσεις ΣΑΕΠ 008/8 περιβάλλον;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;0,00;0,00;658.264,96;0,00
02.00.071.9459.α.3.3.01;Επενδύσεις ΣΑΕΠ 008/8 περιβάλλον;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;658.264,96;0,00;0,00;0,00;658.264,96;0,00
02.00.071.9459.α.3.4;Επενδύσεις ΣΑΕΠ 008/8 πολιτισμός;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;0,00;0,00;1.161.447,53;0,00
02.00.071.9459.α.3.4.01;Επενδύσεις ΣΑΕΠ 008/8 πολιτισμός;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;1.161.447,53;0,00;0,00;0,00;1.161.447,53;0,00
02.00.071.9459.α.4;Επενδύσεις ΣΑΜΠ;1.871.693,53;0,00;1.871.693,53;0,00;1.871.693,53;0,00;1.871.693,53;0,00;1.871.693,53;0,00;1.871.693,53;0,00;0,00;0,00;1.871.693,53;0,00
02.00.071.9459.α.4.α;Επενδύσεις ΣΑΜΠ 008;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.00.071.9459.α.4.α.01;Επενδύσεις ΣΑΜΠ 008;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;10.000,00;0,00;0,00;0,00;10.000,00;0,00
02.00.071.9459.α.4.β;Επενδύσεις ΣΑΜΠ 008/3;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;0,00;0,00;1.861.693,53;0,00
02.00.071.9459.α.4.β.01;Επενδύσεις ΣΑΜΠ 008/3;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;1.861.693,53;0,00;0,00;0,00;1.861.693,53;0,00
02.00.071.9900;Λοιπές Επενδύσεις;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00
02.00.071.9910;Επενδύσεις από έσοδα Ευρωπαικής Ένωσης;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00
02.00.071.9919;Λοιποί σκοποί;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;1.710.675,67;0,00;0,00;0,00;1.710.675,67;0,00
02.00.071.9919.1;Επενδύσεις ΣΑΕΠ 308/2;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;0,00;0,00;114.800,36;0,00
02.00.071.9919.1.01;Επενδύσεις ΣΑΕΠ 308/2;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;114.800,36;0,00;0,00;0,00;114.800,36;0,00
02.00.071.9919.2;Επενδύσεις ΣΑΕΠ 308/8;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;0,00;0,00;1.595.875,31;0,00
02.00.071.9919.2.01;Επενδύσεις ΣΑΕΠ 308/8;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;1.595.875,31;0,00;0,00;0,00;1.595.875,31;0,00
02.00.725;ΥΠΗΡΕΣΙΕΣ ΔΙΟΙΚΗΣΗΣ - ΟΙΚΟΝΟΜΙΚΟΥ / ΝΟΜΑΡΧΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΕΡΓΩΝ ΧΡΗΜΑΤΟΔΟΤΟΥΜΕΝΟ ΑΠΟ Κ.Α.Π.;100.000,00;111.100,70;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;0,00;0,00;211.100,70;0,00
02.00.725.9000;Πληρωμές για επενδύσεις;100.000,00;111.100,70;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;0,00;0,00;211.100,70;0,00
02.00.725.9800;Επενδύσεις εκτελούμενες απο τα έσοδα των ΝΠΔΔ;100.000,00;111.100,70;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;0,00;0,00;211.100,70;0,00
02.00.725.9890;Λοιποί σκοποί;100.000,00;111.100,70;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;0,00;0,00;211.100,70;0,00
02.00.725.9899;Λοιπές δαπάνες;100.000,00;111.100,70;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;211.100,70;0,00;0,00;0,00;211.100,70;0,00
