Κωδικός Λογαριασμού;Περιγραφή;Εγκεκριμένος;Αναμορφώσεις;Διαμορφωμένος (Δ.Π.);Δεσμευθέντα;Υπόλοιπο Δεσμευθέντων ως προς Δ.Π.;Τιμολογηθέντα;Υπόλοιπο Τιμολογηθέντων ως προς Δ.Π.;Ενταλθέντα;Υπόλοιπο Ενταλθέντων    ως προς Δ.Π.;Πληρωθέντα;Υπόλοιπο Πληρωθέντων    ως προς Δ.Π.;Υπόλοιπο (Ενταλθέντα - Πληρωθέντα);Διαθέσεις;Υπόλοιπο Τιμολογηθέντων ως προς Διαθέσεις;Υπόλοιπο Διαθέσεων ως προς Δ.Π.;Υπόλοιπο Διαθέσεων ως προς Δεσμεύσεις
02.00.725.9899.δ;Σύνταξη επιχειρησιακού προγράμματος;25.000,00;-12.000,00;13.000,00;9.089,00;3.911,00;-3.582,18;16.582,18;9.089,00;3.911,00;9.089,00;3.911,00;0,00;0,00;3.582,18;13.000,00;9.089,00
02.00.725.9899.ε;"Διερεύνηση δυνατοτήτων παραγωγής ζωοκομικών προϊόντων ποιότητας στην Π.Κ.Μ με τη χρήση σπερμάτων κτηνοτροφικών ψυχανθών
";125.000,00;-105.000,00;20.000,00;5.000,00;15.000,00;0,00;20.000,00;5.000,00;15.000,00;5.000,00;15.000,00;0,00;0,00;0,00;20.000,00;5.000,00
02.00.725.9899.στ;Επαναπροσδιορισμός ζωνών αλιείας & καλλιέργειας οστρακοειδών θαλάσσιων περιοχών Θερμαϊκού;0,00;50.000,00;50.000,00;0,00;50.000,00;0,00;50.000,00;0,00;50.000,00;0,00;50.000,00;0,00;0,00;0,00;50.000,00;0,00
02.01;ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ;98.419.524,93;8.055.185,91;106.474.710,84;55.509.172,06;50.965.538,78;51.431.412,59;55.043.298,25;52.946.599,40;53.528.111,44;50.446.124,27;56.028.586,57;2.500.475,13;0,00;-51.431.412,59;106.474.710,84;55.509.172,06
02.01.071;ΥΠΗΡΕΣΙΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ - ΣΧΕΔΙΑΣΜΟΥ (Π.Δ.Ε.);4.337.905,13;15.710.020,57;20.047.925,70;12.047.210,29;8.000.715,41;11.984.022,49;8.063.903,21;11.976.446,20;8.071.479,50;11.976.446,20;8.071.479,50;0,00;0,00;-11.984.022,49;20.047.925,70;12.047.210,29
02.01.071.9000;Πληρωμές για επενδύσεις;4.337.905,13;15.710.020,57;20.047.925,70;12.047.210,29;8.000.715,41;11.984.022,49;8.063.903,21;11.976.446,20;8.071.479,50;11.976.446,20;8.071.479,50;0,00;0,00;-11.984.022,49;20.047.925,70;12.047.210,29
02.01.071.9400;Πληρωμές για επενδύσεις;4.176.216,96;15.408.425,41;19.584.642,37;11.744.840,90;7.839.801,47;11.716.109,21;7.868.533,16;11.708.532,92;7.876.109,45;11.708.532,92;7.876.109,45;0,00;0,00;-11.716.109,21;19.584.642,37;11.744.840,90
02.01.071.9450; Επενδύσεις για Γεωργία - Δάση - Αλιεία;387.666,60;5.816.183,11;6.203.849,71;2.728.193,20;3.475.656,51;2.727.013,20;3.476.836,51;2.727.013,20;3.476.836,51;2.727.013,20;3.476.836,51;0,00;0,00;-2.727.013,20;6.203.849,71;2.728.193,20
02.01.071.9453;Επενδύσεις για Συγκοινωνίες -Σιδηρόδρομοι;37.671,07;-37.671,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9453.α;Επενδύσεις για Συγκοινωνίες;37.671,07;-37.671,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9453.α.4;Επενδύσεις για Συγκοινωνίες - ΕΑΠ;37.671,07;-37.671,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9453.α.4.0;Επενδύσεις για Συγκοινωνίες - Ε.Α.Π. Γενικά;37.671,07;-37.671,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9454;Τουρισμός - Μουσεία - Μνημεία - Εκπαίδευση;0,00;5.532.100,45;5.532.100,45;2.573.995,65;2.958.104,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;0,00;0,00;-2.572.815,65;5.532.100,45;2.573.995,65
02.01.071.9454.β;Επενδύσεις για Εκπαίδευση;0,00;5.532.100,45;5.532.100,45;2.573.995,65;2.958.104,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;0,00;0,00;-2.572.815,65;5.532.100,45;2.573.995,65
02.01.071.9454.β.3;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 3;0,00;5.532.100,45;5.532.100,45;2.573.995,65;2.958.104,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;2.572.815,65;2.959.284,80;0,00;0,00;-2.572.815,65;5.532.100,45;2.573.995,65
02.01.071.9454.β.3.21;Εππενδύσεις για Εκπαίδευση - ΣΑΝΑ 8 Προσθήκη κτιρίου στο συγκρότημα ΤΕΕ Ευκλείδη-Συμπληρωματική Σύμβαση[2010ΝΑ01880003];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9454.β.3.29;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8-6-θέσιο Δημοτικό Σχολείο Κερασιάς Δήμου Ν. Μηχανιώνας;0,00;927.411,43;927.411,43;222.000,00;705.411,43;220.820,00;706.591,43;220.820,00;706.591,43;220.820,00;706.591,43;0,00;0,00;-220.820,00;927.411,43;222.000,00
02.01.071.9454.β.3.30;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8-2ο Γυμνάσιο Ευκαρπίας (προκατ 12/θ);0,00;1.704.689,02;1.704.689,02;728.395,65;976.293,37;728.395,65;976.293,37;728.395,65;976.293,37;728.395,65;976.293,37;0,00;0,00;-728.395,65;1.704.689,02;728.395,65
02.01.071.9454.β.3.31;Επενδύσεις για Εκπαίδευση - ΣΑΝΑ 8-14ο ΔΣ Πολίχνης (ΠΡΟΚΑΤ-12Θ);0,00;1.900.000,00;1.900.000,00;1.623.600,00;276.400,00;1.623.600,00;276.400,00;1.623.600,00;276.400,00;1.623.600,00;276.400,00;0,00;0,00;-1.623.600,00;1.900.000,00;1.623.600,00
02.01.071.9454.β.3.32;Επενδύσεις για Εκπαίδευση - ΣΑΕΠ 008/8 3ο ολοήμερο διαπολιτισμικό σχολείο Μενενένης;0,00;1.000.000,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;1.000.000,00;0,00;0,00;0,00;1.000.000,00;0,00
02.01.071.9457;Επενδύσεις για Ειδικά Προγράμματα;3.251,82;50,14;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;0,00;0,00;3.301,96;0,00
02.01.071.9457.β;Επενδύσεις για Ειδικά Προγράμματα;3.251,82;50,14;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;3.301,96;0,00;0,00;0,00;3.301,96;0,00
02.01.071.9457.β.0;Επενδύσεις για Ειδικά Προγράμματα;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;270,00;0,00;0,00;0,00;270,00;0,00
02.01.071.9457.β.1;"Επενδύσεις για Ειδικά Προγράμματα-""Τοπικές Στρατηγικές για την Απασχόληση & την Καινοτομία στην Π.Κ.Μ.""";2.981,82;50,14;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;3.031,96;0,00;0,00;0,00;3.031,96;0,00
02.01.071.9458;Αποθεματικό Εκτάτων Αναγκών;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;0,00;0,00;32,30;0,00
02.01.071.9458.β;Αποθεματικό Εκτάτων Αναγκών;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;0,00;0,00;32,30;0,00
02.01.071.9458.β.3;Αποθεματικό Εκτάτων Αναγκών - ΣΑΝΑ 3;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;0,00;0,00;32,30;0,00
02.01.071.9458.β.3.1;Αποθεματικό Εκτάτων Αναγκών - ΣΑΝΑ 3 Οδοιπορικά ( 31 024 01830002 014 );32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;32,30;0,00;0,00;0,00;32,30;0,00
02.01.071.9459;Διάφορα;346.711,41;321.703,59;668.415,00;154.197,55;514.217,45;154.197,55;514.217,45;154.197,55;514.217,45;154.197,55;514.217,45;0,00;0,00;-154.197,55;668.415,00;154.197,55
02.01.071.9459.α;Επενδύσεις για διάφορα έργα;346.711,41;321.703,59;668.415,00;154.197,55;514.217,45;154.197,55;514.217,45;154.197,55;514.217,45;154.197,55;514.217,45;0,00;0,00;-154.197,55;668.415,00;154.197,55
02.01.071.9459.α.1;Επενδύσεις για διάφορα έργα - Τόκοι;308.891,41;2.878,14;311.769,55;0,00;311.769,55;0,00;311.769,55;0,00;311.769,55;0,00;311.769,55;0,00;0,00;0,00;311.769,55;0,00
02.01.071.9459.α.3;Επενδύσεις για διάφορα έργα - ΣΑΝΑ 3;37.820,00;318.825,45;356.645,45;154.197,55;202.447,90;154.197,55;202.447,90;154.197,55;202.447,90;154.197,55;202.447,90;0,00;0,00;-154.197,55;356.645,45;154.197,55
02.01.071.9459.α.3.0;Επενδύσεις για διάφορα έργα - ΣΑΝΑ 3  Γενικά;37.820,00;-37.820,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9459.α.3.9;Επενδύσεις  για διάφορα έργα - ΣΑΝΑ 3 Αποκατάσταση χώρων ανεξέλεγκτης διάθεσης απορριμάτων (ΧΑΔΑ) Ν. Θεσ/νίκης Β ΦΑΣΗ;0,00;356.645,45;356.645,45;154.197,55;202.447,90;154.197,55;202.447,90;154.197,55;202.447,90;154.197,55;202.447,90;0,00;0,00;-154.197,55;356.645,45;154.197,55
02.01.071.9460;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;-22.146,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9461;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;-22.146,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9461.0;Πρόγραμμα Παραμεθόριων Περιοχών;22.146,58;-22.146,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9461.0.4;Πρόγραμμα Παραμεθόριων Περιοχών  Π.Δ.Ε;22.146,58;-22.146,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9470;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;3.766.403,78;9.614.388,88;13.380.792,66;9.016.647,70;4.364.144,96;8.989.096,01;4.391.696,65;8.981.519,72;4.399.272,94;8.981.519,72;4.399.272,94;0,00;0,00;-8.989.096,01;13.380.792,66;9.016.647,70
02.01.071.9471;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;256.218,30;-19.880,00;236.338,30;44.076,98;192.261,32;44.076,98;192.261,32;44.076,98;192.261,32;44.076,98;192.261,32;0,00;0,00;-44.076,98;236.338,30;44.076,98
02.01.071.9471.α;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης;256.218,30;-19.880,00;236.338,30;44.076,98;192.261,32;44.076,98;192.261,32;44.076,98;192.261,32;44.076,98;192.261,32;0,00;0,00;-44.076,98;236.338,30;44.076,98
02.01.071.9471.α.0;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - Γενικά;152.018,12;-152.018,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9471.α.1;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - ( Πρόγραμμα αντιμετωπισης  ζημιώ ν - καταστροφών κ.λ.π. ) λογ. 2153-95;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;4.515,13;0,00;0,00;0,00;4.515,13;0,00
02.01.071.9471.α.2;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης - Γενικά ( Πρόγραμμα αντιμετωπισης  ζημιών - καταστροφών κ.λ.π. )   Τρ. Ελλάδος;0,00;76.322,68;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;76.322,68;0,00;0,00;0,00;76.322,68;0,00
02.01.071.9471.α.3;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ;95.528,15;-19.880,00;75.648,15;44.076,98;31.571,17;44.076,98;31.571,17;44.076,98;31.571,17;44.076,98;31.571,17;0,00;0,00;-44.076,98;75.648,15;44.076,98
02.01.071.9471.α.4;Πρόγραμμα αντιμετώπισης ζημιών-καταστροφών κλπ-Αποζημιώσεις για την πυρκαγιά στους Ταγαράδες;0,00;75.695,44;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;75.695,44;0,00;0,00;0,00;75.695,44;0,00
02.01.071.9471.α.5;Επενδύσεις Υπουργείου Εσωτερικών  Δημ. Διοίκησης και Αποκέντρωσης-Συντήρηση & Κατασκευή αθλητικών εγκαταστάσεων ΝΑΘ-Συμμετοχή Δήμων βάσει Προγ.Σύμβασης;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;4.156,90;0,00;0,00;0,00;4.156,90;0,00
02.01.071.9472;Επενδύσεις Υπ. Παιδείας - Πρόγραμμα Σχολικής Στέγης;207.000,00;546.104,62;753.104,62;170.405,05;582.699,57;170.405,05;582.699,57;170.405,05;582.699,57;170.405,05;582.699,57;0,00;0,00;-170.405,05;753.104,62;170.405,05
02.01.071.9472.α;Πρόγραμμα Σχολικής Στέγης;170.000,00;546.104,62;716.104,62;170.405,05;545.699,57;170.405,05;545.699,57;170.405,05;545.699,57;170.405,05;545.699,57;0,00;0,00;-170.405,05;716.104,62;170.405,05
02.01.071.9472.α.0;Πρόγραμμα Σχολικής Στέγης - Γενικά;170.000,00;3.772,95;173.772,95;0,00;173.772,95;0,00;173.772,95;0,00;173.772,95;0,00;173.772,95;0,00;0,00;0,00;173.772,95;0,00
02.01.071.9472.α.1;Πρόγραμμα Σχολικής Στέγης;0,00;542.331,67;542.331,67;170.405,05;371.926,62;170.405,05;371.926,62;170.405,05;371.926,62;170.405,05;371.926,62;0,00;0,00;-170.405,05;542.331,67;170.405,05
02.01.071.9472.β;Πρόγραμμα Σχολική Στέγης - Οδοιπορικά;37.000,00;0,00;37.000,00;0,00;37.000,00;0,00;37.000,00;0,00;37.000,00;0,00;37.000,00;0,00;0,00;0,00;37.000,00;0,00
02.01.071.9473;Επενδύσεις Υπ. Γεωργίας;53.157,12;-53.157,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9473.0;Επενδύσεις Υπ. Γεωργίας-Γενικά;53.157,12;-53.157,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9473.0.1;Επενδύσεις Υπ. Γεωργίας-Ενέργειες προστασίας των οστρακοκαλλιεργιών του Θερμαϊκού κόλπου από έκτακτες περιπτώσεις θαλάσσιας ρύπανσης;53.157,12;-53.157,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02.01.071.9474;Επενδύσεις Υπ. Πολιτισμού;3.211.796,23;2.435.666,39;5.647.462,62;2.095.542,19;3.551.920,43;2.067.990,50;3.579.472,12;2.060.414,21;3.587.048,41;2.060.414,21;3.587.048,41;0,00;0,00;-2.067.990,50;5.647.462,62;2.095.542,19
02.01.071.9474.0;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. ( 231/ 12 8516137 12 );3.211.796,23;2.435.666,39;5.647.462,62;2.095.542,19;3.551.920,43;2.067.990,50;3.579.472,12;2.060.414,21;3.587.048,41;2.060.414,21;3.587.048,41;0,00;0,00;-2.067.990,50;5.647.462,62;2.095.542,19
02.01.071.9474.0.0;Επενδύσεις Υπουργείου Πολιτισμού - Γ.Γ.Α. Γενικά;648.686,03;0,00;648.686,03;0,00;648.686,03;0,00;648.686,03;0,00;648.686,03;0,00;648.686,03;0,00;0,00;0,00;648.686,03;0,00
02.01.071.9474.0.1;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α. Ταμειακά Υπόλοιπα στον 002153-95;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;78.678,04;0,00;0,00;0,00;78.678,04;0,00
02.01.071.9474.0.32;"Επιχορηγήσεις Υπουργείου Πολιτισμού - 2ο Διεθνές Τουρνουά ποδοσφαίρου νέων ""Εγνατία""";1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;1.484,68;0,00;0,00;0,00;1.484,68;0,00
02.01.071.9474.0.33;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Ταμειακ. Υπόλ. (στον 231/ 12 8516137 12 );0,00;38.374,19;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;38.374,19;0,00;0,00;0,00;38.374,19;0,00
02.01.071.9474.0.35;Επενδύσεις Υπ. Πολιτισμού - Γ.Γ.Α.Συντ.Κατασ. Αθλ.Εγκατ. Ν.Α Θεσ/νίκης ΣΑΕ 016;0,00;94.757,24;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;94.757,24;0,00;0,00;0,00;94.757,24;0,00
02.01.071.9474.0.39;ΓΓΑ-Κοινότητα Πεύκων:ανέγερση κλειστού γυμναστηρίου τύπου Τ11β & γηπέδου ποδοσφαίρου με χλοοτάπητα;0,00;350.545,04;350.545,04;200.822,52;149.722,52;200.822,52;149.722,52;200.822,52;149.722,52;200.822,52;149.722,52;0,00;0,00;-200.822,52;350.545,04;200.822,52
02.01.071.9474.0.42;ΓΓΑ-Πρόγραμμα Εργασιακού Αθλητισμού-Κατασκευή γηπέδων αθλοπαιδιών στο 1ο ΚΕΠ Χορτιάτη Ν. Θεσ/νίκης;0,00;98.952,53;98.952,53;98.952,53;0,00;98.952,53;0,00;98.952,53;0,00;98.952,53;0,00;0,00;0,00;-98.952,53;98.952,53;98.952,53
02.01.071.9474.0.43;ΓΓΑ-Επίστρωση Συνθετικού Τάπητα στο Βοηθητικό Στίβο Καυτατζογλείου Σταδίου;0,00;7.725,59;7.725,59;0,00;7.725,59;0,00;7.725,59;0,00;7.725,59;0,00;7.725,59;0,00;0,00;0,00;7.725,59;0,00
02.01.071.9474.0.46;Επενδύσεις ΓΓΑ: Δήμος Ευόσμου Θεσ/νίκης:Ανέγερση Κλειστού Κολυμβητηρίου;0,00;1.383.300,45;1.383.300,45;1.383.300,45;0,00;1.383.300,45;0,00;1.383.300,45;0,00;1.383.300,45;0,00;0,00;0,00;-1.383.300,45;1.383.300,45;1.383.300,45
02.01.071.9474.0.47;Συντηρήσεις και μικροκατασκευές αθλητικών εγκαταστάσεων-2009;2.482.947,48;143.255,90;2.626.203,38;104.711,24;2.521.492,14;77.159,55;2.549.043,83;69.583,26;2.556.620,12;69.583,26;2.556.620,12;0,00;0,00;-77.159,55;2.626.203,38;104.711,24
02.01.071.9474.0.50;Κατασκευή στίβου & λοιπές εργασίες στα ΤΕΦΑΑ Πανεπιστημίου στη Θέρμη-αποδυτήρια στα γήπεδα Π1-Π2-Π3-Π6,συνθετικός χλοοτάπητας & ηλεκτροφωτισμός στα γήπεδα Π1-Π2;0,00;318.755,45;318.755,45;307.755,45;11.000,00;307.755,45;11.000,00;307.755,45;11.000,00;307.755,45;11.000,00;0,00;0,00;-307.755,45;318.755,45;307.755,45
